Highest Education Level,Total Hours Worked,Electoral Division,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",% Receiving SW,% Pension is Majority,Income per commuter for <30mins,Income per commuter for >30mins,Household Income
57,258,"010 Castlequin, Co. Kerry",11.7,7.3,13.4,5.8,15.6,25.9,20.2,8.8,18.9,20347,32433,41353
12,82,"012 Curraghbeg, Co. Kerry",13.3,14.8,12.6,9.7,11.4,22.3,16.0,7.9,11.1,16990,24379,39777
13,75,"013 Doire Fhíonáin, Co. Kerry",10.7,12.6,7,13.7,10.4,27.7,17.8,10,22.9,..,..,31036
58,342,"015 An tImleach, Co. Kerry",5.8,11.5,9.1,14.8,5.7,27.7,25.4,14.7,20.7,17855,26478,30651
61,400,"016 Glanbehy, Co. Kerry",6.3,8.6,17.1,9.5,9.4,28.3,20.8,15.9,19.7,21269,33077,33502
11,108,"017 Killinane, Co. Kerry",19.6,9.6,9.8,7,15,24.9,14.1,10.5,23.8,17349,30898,27206
2,36,"018 Lickeen, Co. Kerry",24.2,0.7,14.8,12.4,3.9,23.8,20.3,6.3,9.4,..,..,40126
26,110,"019 Loch Luíoch, Co. Kerry",9.3,13,14.2,22,9.1,18.2,14.2,12.6,26.1,..,..,28799
13,115,"021 Maum, Co. Kerry",11.9,9.9,13.4,7.8,18,20.9,18.1,13.5,18,..,..,38646
25,159,"022 Portmagee, Co. Kerry",11.4,5.7,10.6,7.2,11.3,29.7,24.2,14.3,19.7,..,..,30247
12,64,"023 Toghroinn Fhíonáin, Co. Kerry",15.6,15.5,8.5,1.1,10.5,33.3,15.5,7.1,23.2,..,..,32283
27,131,"024 Teeranearagh, Co. Kerry",9.3,10.4,10.8,7.2,9.9,31.8,20.7,16.2,15.4,..,..,30985
48,262,"025 Valencia, Co. Kerry",10.1,10.3,11.6,9.8,7.7,39.7,10.9,15.9,16.4,19798,35490,32312
40,221,"026 Ballinvoher, Co. Kerry",11.5,8.4,11.2,12.2,5.3,24.0,27.5,13.8,19.5,19585,39375,32099
7,44,"027 An Baile Dubh, Co. Kerry",19.8,14.3,12.7,2.4,11.6,25.5,13.7,16.7,9.5,..,..,31367
20,132,"028 Ballynacourty, Co. Kerry",12.9,9.8,8,8.9,11,31.2,18.2,7.1,20.5,24019,35611,37712
9,58,"029 Cé Bhréanainn, Co. Kerry",12.5,11.1,12.3,3.2,8,36.2,16.6,5.9,17.6,..,..,39816
50,381,"030 Castlegregory, Co. Kerry",8.7,9,5.3,11.9,9.9,32.5,22.8,14.4,19.4,25082,35457,33947
13,91,"031 An Clochán, Co. Kerry",11.8,11.5,8.4,12.8,6,35.3,14.2,6.5,14.3,25081,32534,36826
25,147,"032 Deelis, Co. Kerry",12.7,11.5,10,10.4,10.8,30.5,14.2,12.1,20.5,22666,37241,32152
79,686,"033 An Daingean, Co. Kerry",5.1,5.1,8.9,7.7,9.2,22.5,41.5,15.3,13.5,19443,38856,31142
6,70,"034 Dún Chaoin, Co. Kerry",8.7,7.5,21.1,13.5,2,33.2,14.0,13.8,15.4,..,..,34598
24,213,"035 Dún Urlann, Co. Kerry",13.2,6.2,11.9,6.7,9.8,33.3,18.9,12.4,15.4,19798,32868,35303
106,766,"036 Na Gleannta, Co. Kerry",8.2,5,8.9,10.3,8.7,30.9,28.0,12.3,12.8,21493,37211,39695
11,47,"037 Inch, Co. Kerry",16,1,13.9,9.8,9,22.4,27.8,6.1,32.7,..,..,30559
23,205,"038 Cill Maoilchéadair, Co. Kerry",13.5,5.5,7.9,8.2,7.5,34.5,22.8,18.2,18.2,25059,33699,29721
12,199,"039 Cill Chuáin, Co. Kerry",11.3,7.1,6.7,9.8,9,38.7,17.5,22,14.3,20338,28497,30853
18,162,"040 Cinn Aird, Co. Kerry",18.3,8.3,8.1,13.1,12,22.5,17.7,9.2,19.1,18414,39791,37180
23,117,"041 Lack, Co. Kerry",9.1,17.2,14.6,3.2,13.7,25.8,16.4,9.9,15.8,27256,27743,37514
17,107,"042 Márthain, Co. Kerry",5.3,3.4,15.1,16.2,12.7,28.8,18.4,10.8,16.1,16285,30409,27810
25,177,"043 An Mhin Aird, Co. Kerry",12.7,9.5,10.6,11.3,7.4,37.0,11.5,9.4,14.5,23247,41555,35593
19,97,"044 An Sráidbhaile, Co. Kerry",18.6,0.9,9.9,5.8,11.3,37.8,15.7,4.9,16,..,..,38029
22,174,"045 Ceann Trá, Co. Kerry",11.3,7.7,7.4,12,2.1,38.8,20.7,16.2,16.8,20714,42842,30605
15,77,"046 Ardea, Co. Kerry",17.3,16,10.8,16.3,3.7,13.0,22.9,13,20.8,..,..,27895
20,106,"047 Banawn, Co. Kerry",16.7,5.3,12.1,14.6,8.1,21.8,21.3,12.5,13.8,19582,34552,34812
16,165,"048 Cappagh, Co. Kerry",14.4,7.8,9.5,10.2,12,20.0,26.2,13.2,18.1,18470,29899,35795
22,112,"049 Castlecove, Co. Kerry",15.1,10.8,8.6,2.6,11.5,25.8,25.6,16.8,23.2,..,..,23584
33,242,"050 Dawros, Co. Kerry",9.1,9.8,10.3,14.5,7.7,25.8,22.8,9.5,14.8,21849,28658,34383
22,99,"051 Dromore, Co. Kerry",8.3,7.3,11.9,21.1,4,23.5,23.9,6.9,18.6,24839,36348,32335
15,62,"052 Glanlee, Co. Kerry",17,15.1,9.8,2.1,18.6,20.1,17.3,6.5,22.6,..,..,39877
3,59,"053 Glanlough, Co. Kerry",19.8,15.4,10.6,12.7,3.6,24.4,13.6,10,22,..,..,35588
9,80,"054 Glanmore, Co. Kerry",20.6,3.1,12.1,8.6,14.3,22.9,18.5,20,22.4,..,..,26491
20,88,"055 Greenane, Co. Kerry",7.7,12.5,14.7,21.5,9.9,15.5,18.2,9.1,21.6,21145,51290,32288
176,"1,288","056 Kenmare, Co. Kerry",3.9,5.4,10.6,9.5,7.6,32.1,30.9,15,14.2,19605,34338,33756
46,290,"057 Kilgarvan, Co. Kerry",11.4,12.3,7.4,7.4,9.8,30.4,21.2,7.9,21.4,22449,38093,34125
3,62,"058 Loughbrin, Co. Kerry",27.9,8.9,12.9,2.6,9.3,19.7,18.8,3.6,36.4,..,..,29225
15,59,"059 Reen, Co. Kerry",11.8,14.6,12.9,2.8,10.8,29.7,17.4,9.3,22.2,..,..,38145
61,348,"060 Sneem, Co. Kerry",8.5,4.5,7.7,8.6,3.5,23.4,43.7,12.3,22.4,..,..,27322
15,67,"061 Tahilla, Co. Kerry",13.1,12.8,13.6,11.7,10.5,14.6,23.7,13.2,26.3,..,..,18896
67,381,"062 Aghadoe, Co. Kerry",3.9,4.5,6.2,10.3,20.7,28.5,26.0,7.7,14.8,28362,41873,48911
26,186,"063 Aglish, Co. Kerry",7.7,4.5,12.7,9.1,15.8,28.8,21.3,7.5,11.6,27359,27403,47838
11,88,"064 Ballyhar, Co. Kerry",13.9,0.5,11.1,10.3,13.8,27.8,22.6,7.6,9.1,..,..,46183
62,350,"065 Brewsterfield, Co. Kerry",5.1,5.9,10.6,7.6,12.8,35.0,23.0,6.8,8,29527,47701,56367
61,374,"066 Caragh, Co. Kerry",4.6,8.7,17.5,10.9,16.4,23.3,18.6,12.5,18.7,26877,27078,38004
26,205,"067 Churchtown, Co. Kerry",7.5,6.9,11.1,8.5,15.7,32.9,17.4,10.1,18.2,28930,44128,44914
9,51,"068 Clydagh, Co. Kerry",12.9,12.5,6.3,1.3,18.4,30.3,18.4,6,20,..,..,35492
62,376,"069 Coolies, Co. Kerry",4.3,6.6,8,15,12.5,29.0,24.5,6.1,10.1,28412,30384,52827
153,885,"070 Coom, Co. Kerry",6.9,11.4,16.9,4.4,17.2,25.9,17.4,8.9,16.2,26768,34199,45579
13,143,"071 Curraghmore, Co. Kerry",13.9,8,9.8,7.5,11.5,32.2,17.1,15.7,18.3,32481,31862,35333
13,143,"071 Curraghmore, Co. Galway",11.4,12,12.8,8.2,14.1,22.7,18.9,13.6,20.3,27477,34007,42943
14,71,"071 Curraghmore, Co. Kerry",13.9,8,9.8,7.5,11.5,32.2,17.1,15.7,18.3,32481,31862,35333
14,71,"071 Curraghmore, Co. Galway",11.4,12,12.8,8.2,14.1,22.7,18.9,13.6,20.3,27477,34007,42943
22,114,"072 Currans, Co. Kerry",18,10.4,12.2,6.6,13.5,22.5,16.8,14.4,19.2,..,..,46510
35,281,"073 Doocarrig, Co. Kerry",11.2,6.8,12.1,10.6,20.3,26.0,12.9,7.3,15.1,29311,38785,52479
49,354,"074 Dromin, Co. Kerry",9.4,6.3,20,7.5,18,23.6,15.3,6.6,13.2,33041,34144,45762
55,349,"075 Dunloe, Co. Kerry",4.5,7,15.1,9.6,14.6,27.7,21.5,7.6,13.6,28826,37753,44951
21,177,"076 Flesk, Co. Kerry",7.7,6.6,8.7,9,11.8,40.2,16.0,7.1,13.6,32478,41661,56763
48,350,"077 Headfort, Co. Kerry",4.2,9.4,11.3,8.2,20,24.5,22.4,8.8,11.5,27775,42740,47462
48,263,"078 Kilbonane, Co. Kerry",5.9,8.6,13.9,5.8,21.5,20.4,23.9,6.4,13.2,32338,42590,50207
166,928,"079 Kilcummin, Co. Kerry",3.4,5.7,13,10.9,15.2,31.9,19.9,7.2,12.4,30252,45547,53509
23,119,"080 Kilfelim, Co. Kerry",10.8,9,6.7,14.9,16.5,27.6,14.5,4.7,15.3,..,..,52552
43,334,"081 Kilgobnet, Co. Kerry",8.2,7.9,19.4,10.5,19.2,22.4,12.4,10.4,15.4,29385,34449,43577
68,408,"083 Killeentierna, Co. Kerry",7.1,8.9,10.5,10.3,13.7,33.6,15.8,11.3,13.2,30699,30951,47789
263,"1,788","084 Killorglin, Co. Kerry",2.3,6.6,22.1,7.9,15.4,26.1,19.7,15.7,16.7,24685,32240,35888
77,405,"085 Kilnanare, Co. Kerry",7.7,6.7,8,9.4,15,37.1,16.1,10.3,19.3,29197,24181,39724
30,153,"086 Knocknahoe, Co. Kerry",7.7,13.9,9.1,4.7,21.2,25.4,18.1,9.3,14,25000,33159,47670
52,322,"087 Lahard, Co. Kerry",6.9,4.6,8.1,10.7,16.9,35.9,17.0,5.8,10,32853,40551,54864
98,710,"089 Molahiffe, Co. Kerry",6.9,6.8,10.8,6.2,12.7,34.9,21.7,11.4,11.9,28393,32193,42099
150,844,"091 Rathmore, Co. Kerry",4.4,4.3,19.5,6,19.6,26.7,19.5,8.7,14.6,27221,37673,48551
29,176,"092 Rockfield, Co. Kerry",9.8,6.2,12,2.4,23.3,24.4,21.9,5.8,14.5,23361,45744,48926
35,244,"093 Ardagh, Co. Kerry",9.4,9.7,12.5,10.3,14.5,27.4,16.2,23.9,18.6,23819,34649,31063
34,195,"094 Astee, Co. Kerry",12.6,9.1,8.1,11,17.7,25.2,16.4,12.7,22,21717,44770,41151
27,177,"095 Ballincloher, Co. Kerry",6.3,7,8.4,9.8,19,29.6,19.8,9.4,18.9,24329,52240,43650
28,161,"096 Ballyconry, Co. Kerry",10.2,6.4,8.9,14.3,15.1,27.0,18.1,8.1,28.4,27318,51090,38937
41,269,"097 Ballyduff, Co. Kerry",7.9,8,7.8,12.6,13.7,33.2,16.7,27,21.2,28181,35547,30337
8,39,"098 Ballyegan, Co. Kerry",22,14.6,14.1,2.2,13.2,15.4,18.5,17.1,24.4,..,..,34962
39,186,"099 Ballyhorgan, Co. Kerry",13.6,10.3,7.6,9.9,13.4,29.4,15.7,8.4,17.5,29876,32653,43168
18,62,"100 Beal, Co. Kerry",12.8,1.7,9.5,7.8,11.1,41.8,15.2,7.5,18.9,27433,46567,52876
