Highest Education Level,Total Hours Worked,Electoral Division,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",% Receiving SW,% Pension is Majority,Income per commuter for <30mins,Income per commuter for >30mins,Household Income
205,"1,517","001 Carlow Urban, Co. Carlow",1.1,5,14,11,12.6,30.9,25.3,29.4,15.8,22520,35617,28511
64,542,"002 Graigue Urban, Co. Carlow",2,8.3,16.2,8.1,12.7,25.7,26.9,26.3,20.4,21180,31854,28645
38,246,"003 Clonmore, Co. Carlow",10.6,8.9,13.3,12.2,13.9,27.3,13.7,12.1,17,25389,43499,52789
61,410,"004 Hacketstown, Co. Carlow",6.6,10.5,9.8,12.2,12.5,24.7,23.7,23.5,14,25791,33827,35810
22,104,"005 Haroldstown, Co. Carlow",12.1,10.2,11,13.5,14.6,23.2,15.4,14.6,18.8,28277,33790,42365
29,149,"006 Kineagh, Co. Carlow",17.3,8.9,12.2,4.6,11.3,26.9,18.8,12.7,20.3,29204,32474,40869
40,284,"007 Rahill, Co. Carlow",8.8,5.6,9,12.8,11.3,30.9,21.7,12.6,15.8,24990,33500,46181
37,302,"008 Rathvilly, Co. Carlow",5.5,10.2,10.1,7.6,17.2,32.0,17.5,22.4,16.2,23629,34484,33833
30,135,"009 Tiknock, Co. Carlow",7.2,9.1,14,12.7,9.9,29.9,17.3,10,15.5,27961,38964,47937
13,119,"010 Williamstown, Co. Carlow",12.3,7.8,15.2,15,10.1,21.9,17.7,10.2,14.3,32699,42221,46926
22,174,"011 Agha, Co. Carlow",9.6,3,9.4,8.9,13.6,34.6,20.8,10.3,10.3,29121,43727,51626
37,244,"013 Ballintemple, Co. Carlow",14.1,10.1,10.7,9.8,10.9,29.2,15.3,11.4,13,24631,39083,48895
46,289,"014 Ballon, Co. Carlow",6,8.4,11.7,8.3,16.8,30.1,18.7,15.2,11.6,24021,35346,44172
30,165,"015 Ballyellin, Co. Carlow",11,5.5,9.6,9,15.6,29.1,20.3,8.3,23.6,28043,43647,43107
25,159,"016 Ballymoon, Co. Carlow",9.4,10.5,14.1,8.3,17,27.4,13.3,6.9,13.8,32394,37530,53659
68,367,"017 Borris, Co. Carlow",8.9,5.6,9.1,12.7,15.6,27.4,20.8,15.9,19,24121,38595,35540
34,221,"018 Burton Hall, Co. Carlow",2.7,5.4,11.2,16.2,13.2,34.3,17.1,9.7,7.9,38626,49284,67335
66,423,"020 Clogrenan, Co. Carlow",4.2,7.4,12.3,8.7,17.5,31.9,17.9,12.4,15.5,27772,37845,46253
68,428,"021 Clonegall, Co. Carlow",8,8.9,8.2,12.1,13.5,29.5,19.6,14.7,13.5,23803,39527,44779
35,218,"022 Corries, Co. Carlow",7.9,8.5,14.6,9.4,18.8,22.3,18.4,13.5,18.4,25500,36129,44033
87,447,"023 Cranemore, Co. Carlow",8.3,9.5,8.6,12.4,15.9,26.4,18.9,10,15.3,25582,41185,39915
31,306,"024 Fennagh, Co. Carlow",8.4,6.9,10.9,10.2,22.3,28.1,13.2,16.2,10.6,28457,38750,42981
38,247,"025 Garryhill, Co. Carlow",9.4,7.5,11.2,11.4,23.7,24.0,12.7,11.1,17.7,27839,37025,43594
43,200,"026 Grangeford, Co. Carlow",10.2,10.7,9.2,11.5,14.3,27.1,16.8,13.3,11,26843,45427,43537
28,225,"027 Johnstown, Co. Carlow",7.4,7.1,16.5,5.8,14.6,31.8,16.9,10.2,14.3,34149,47520,55718
58,399,"028 Kellistown, Co. Carlow",4.5,5.9,12.7,8.8,18,32.7,17.4,16.8,13.3,33256,44885,48071
28,191,"029 Kilbride, Co. Carlow",7.4,5.8,10.7,11.7,18.1,30.5,15.8,9,17.2,28369,38927,50372
33,194,"030 Killedmond, Co. Carlow",10.3,8.7,9.6,8.9,27.2,21.2,14.2,11.5,10.8,27500,31688,42754
30,163,"031 Killerrig, Co. Carlow",7.6,5.3,9.9,13.4,17.1,25.5,21.1,7.1,8,36463,36304,65153
118,689,"032 Leighlinbridge, Co. Carlow",5.6,5.4,9.7,12.6,16,32.4,18.5,14.2,14.4,27578,46814,41745
41,253,"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",6.6,6,11.8,8.9,12.9,32.8,21.0,10.4,13.1,31337,41040,49288
152,975,"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",2,4.4,10,6.2,24.2,30.2,23.0,22.6,18.3,23624,36581,33154
27,211,"035 Myshall, Co. Carlow",9.2,13.1,12.8,5.9,14.4,30.8,13.7,15.7,20.7,27067,30885,39547
52,351,"036 Nurney, Co. Carlow",7.9,6.2,9.9,9.9,14.8,33.6,17.6,10.2,14.9,29397,42826,52226
37,233,"037 Oldleighlin, Co. Carlow",10.8,7.1,12,13.1,15.4,28.8,12.7,15.3,14.7,28894,38733,49103
10,60,"038 Rathanna, Co. Carlow",10.3,14.1,17.1,4.9,14.1,29.1,10.4,4.3,25.5,..,..,37172
25,161,"039 Rathornan, Co. Carlow",10,9.2,11.6,10.3,18.1,20.8,19.9,14.5,12.1,22774,41831,44360
71,439,"040 Rathrush, Co. Carlow",5.3,5.7,10.4,9.8,17.7,32.1,19.0,10.2,11.7,28987,37418,51605
28,114,"041 Ridge, Co. Carlow",12.7,11.4,13.9,5.2,9,23.6,24.1,20,13.3,24667,29011,42550
34,227,"042 Shangarry, Co. Carlow",9.4,6.5,9.5,11.2,18.1,27.3,18.0,9.8,7.9,29640,33300,53731
32,201,"043 Sliguff, Co. Carlow",7.9,5.2,9.8,7.3,23,26.3,20.5,18.2,15.3,26940,39513,43219
29,180,"044 Tankardstown, Co. Carlow",13.8,6.6,12.2,7,16.1,29.0,15.4,7.2,14.4,26778,43201,47970
30,167,"045 Templepeter, Co. Carlow",8.1,9.3,9.7,7,19,33.4,13.4,7.7,15.4,34267,43676,49738
46,267,"046 Tullowbeg, Co. Carlow",7.2,5.6,13.7,8.9,20.4,23.3,20.9,13.1,12,26855,38162,52697
65,354,"047 Tullow Rural, Co. Carlow",9.2,6.5,11.2,16.4,15.4,22.7,18.7,10.4,13.3,28522,36418,48750
209,"1,476","048 Tullow Urban, Co. Carlow",7.5,7.4,9.1,14.5,17.8,22.5,21.2,25.9,12.3,21222,35154,34153
14,107,"049 Ballymurphy, Co. Carlow",17.4,9.6,5.8,3.5,17.3,25.6,20.9,11,19.8,26832,39106,39222
9,92,"050 Coonogue, Co. Carlow",11.6,7.2,13.5,10.4,11,27.5,18.7,20,16,21393,27704,35030
19,145,"051 Glynn, Co. Carlow",11.7,8.5,5.8,12.5,26.3,19.0,16.2,11.8,20.5,27286,38523,43215
20,122,"052 Kyle, Co. Carlow",17.4,6.9,9,16,16.1,23.7,11.0,9.1,21.8,27338,43512,44643
38,148,"053 Marley, Co. Carlow",9.2,10.4,11.9,9.6,16.8,28.1,13.9,15,20.5,18636,34692,42746
50,264,"054 Tinnahinch, Co. Carlow",5.8,8.6,12.2,6.7,12.8,32.6,21.2,22.4,18.4,23621,34439,32685
95,854,"001 Arran Quay A, Dublin City",0.8,3.4,20,25.8,5,28.9,16.1,11.2,12,29211,29499,40293
195,"2,246","002 Arran Quay B, Dublin City",0.3,2.9,23.6,29.1,3.4,22.4,18.2,15.8,4.3,29610,31363,40554
221,"2,489","003 Arran Quay C, Dublin City",0.1,1.4,24.1,36,3.2,19.0,16.3,13.8,2.4,33137,36140,48005
133,"1,472","004 Arran Quay D, Dublin City",0.1,2.5,16.2,25.1,4.6,35.8,15.8,19.8,9.2,34084,35669,40641
142,"1,838","005 Arran Quay E, Dublin City",0.3,1.4,17.3,29.9,3.5,33.6,14.0,14.6,12.2,32858,38597,41733
645,"5,586","006 Ashtown A, Dublin City",0.1,2.5,22.8,22.8,5.6,29.4,16.8,7.1,7.6,39788,40876,63947
180,"1,287","007 Ashtown B, Dublin City",0.4,3.8,19.9,22.6,4.2,34.5,14.7,6.4,13.8,44499,44503,62947
299,"2,482","008 Ayrfield, Dublin City",0.1,5,19,15,8.7,24.8,27.5,13.8,13.9,30878,34057,47567
125,"1,531","009 Ballybough A, Dublin City",..,3.8,22.4,21,3.3,30.4,19.1,28.6,11.7,26319,30275,31504
158,"1,778","010 Ballybough B, Dublin City",0.5,3.2,23.5,21.6,4.4,29.0,17.8,19.2,9.6,28377,28488,34109
172,"1,602","011 Ballygall A, Dublin City",..,4.3,17.5,13.3,5.8,34.7,24.4,16.2,10.5,29007,31501,45686
82,706,"012 Ballygall B, Dublin City",..,2.8,17.3,19.5,6,32.7,21.7,13,21.5,29737,35081,38455
174,"1,304","013 Ballygall C, Dublin City",..,2.3,16.9,19.4,5.7,36.0,19.7,5.7,21,37554,40956,50531
126,"1,114","014 Ballygall D, Dublin City",..,3,20.3,14.8,6.1,35.0,20.7,10,18,35679,37553,48264
152,"2,052","015 Ballymun A, Dublin City",0.1,2.9,18,12.6,8,34.7,23.6,22.2,6.5,28600,30867,43696
86,"1,338","016 Ballymun B, Dublin City",0.7,3.2,22.4,8.2,7.7,21.8,35.9,33,15.4,20849,20962,32891
159,"2,100","017 Ballymun C, Dublin City",0.5,3.6,20.4,12.6,6.1,26.1,30.8,28,12.8,22537,27352,35408
49,768,"018 Ballymun D, Dublin City",..,7.1,23.6,8.9,6.2,24.5,29.8,34.7,15.6,21188,22279,29001
93,633,"019 Ballymun E, Dublin City",..,2.6,18,16.6,6.9,39.1,16.7,3.4,20.3,41088,43965,56725
149,"1,042","020 Ballymun F, Dublin City",0.1,4,17.8,15.3,8.5,34.7,19.5,4.7,22.2,32656,37517,51818
166,"1,001","021 Beaumont A, Dublin City",..,4.9,17.6,15.5,8,33.1,20.9,5.4,28.2,35490,38734,46176
259,"2,067","022 Beaumont B, Dublin City",0.3,3.8,17.9,14.4,4,41.1,18.5,6.1,15.4,37407,34570,55941
186,"1,364","023 Beaumont C, Dublin City",0.4,3.7,24,16.9,6.5,28.4,20.1,6.5,24.3,34219,35817,47292
126,975,"024 Beaumont D, Dublin City",0.6,5.1,21.1,12.9,7.1,32.8,20.5,4.3,15.3,35441,37468,65982
117,821,"025 Beaumont E, Dublin City",0.6,3.5,21,16.6,7.5,34.5,16.4,5.8,22.7,35937,41790,49943
218,"1,609","026 Beaumont F, Dublin City",0.4,4.2,19.2,17.7,6.3,36.4,15.8,4.5,18.2,37030,38167,59198
149,"1,497","027 Botanic A, Dublin City",0.3,1.6,20.3,23.8,6.5,35.6,12.0,5.8,13.6,42902,40561,54579
184,"1,727","028 Botanic B, Dublin City",0.3,2.3,21.3,22.5,4.7,37.0,11.9,6.5,11.7,45799,45614,62621
107,"1,188","029 Botanic C, Dublin City",0.5,2.4,20,26.4,3.4,36.4,11.0,8,7.6,38653,37491,56164
288,"3,009","030 Cabra East A, Dublin City",0.2,2.5,20.2,21.3,3.1,38.2,14.5,11,9.6,35816,35097,48238
168,"1,614","031 Cabra East B, Dublin City",0.1,4.6,16.8,17,5.7,34.7,21.1,15.4,18.9,30179,31765,37486
200,"2,059","032 Cabra East C, Dublin City",..,3.4,20.3,24.4,3.8,31.1,16.9,18.3,9.9,31441,31433,37516
52,544,"033 Cabra West A, Dublin City",..,5.4,15.5,13.2,6.2,36.0,23.7,16.2,23.6,28700,30084,40853
116,979,"034 Cabra West B, Dublin City",0.7,6,14.6,13.9,5.6,34.0,25.1,21.3,23.5,27683,28145,34222
107,"1,193","035 Cabra West C, Dublin City",0.5,3.9,18.7,16.3,6.2,35.2,19.2,16.6,18.1,29615,33429,41250
129,"1,364","036 Cabra West D, Dublin City",..,2.7,17.1,22.6,5.8,36.0,15.6,12.6,13.9,35412,35501,52257
167,"1,363","037 Clontarf East A, Dublin City",..,2.9,20.1,20.9,5.1,34.1,16.9,7,17.3,42543,45551,56483
392,"3,173","038 Clontarf East B, Dublin City",0.1,2,22.5,28.2,5.4,27.9,14.0,5.5,10.6,45490,53403,68864
162,"1,313","039 Clontarf East C, Dublin City",0.4,2,23.7,24.2,5.4,30.5,13.8,4.4,10.2,47787,51048,70556
139,"1,129","040 Clontarf East D, Dublin City",0.4,1.8,27.2,27.3,4.6,25.4,13.3,4.8,9.9,49425,52019,69150
77,781,"041 Clontarf East E, Dublin City",0.5,2.3,24.7,26.3,4.7,27.7,13.8,2.7,9.6,45090,52422,74484
189,"1,718","042 Clontarf West A, Dublin City",..,3.5,22.1,20.3,5.4,30.7,18.0,7.7,14.3,40058,43989,58613
120,"1,033","043 Clontarf West B, Dublin City",0.1,4,21,20.4,6,27.1,21.4,15,18.9,31388,38633,42873
203,"2,010","044 Clontarf West C, Dublin City",0.2,1.8,24,32,3.8,28.0,10.3,5.8,6.5,47952,45788,66068
116,"1,240","045 Clontarf West D, Dublin City",0.5,2.5,20.8,30.4,3.8,27.5,14.6,9.9,13.2,35506,35643,48075
128,"1,169","046 Clontarf West E, Dublin City",0.4,2.5,20.6,25.8,4.8,31.7,14.2,3.4,19.2,40002,41392,62601
275,"2,821","047 Drumcondra South A, Dublin City",0.3,2.6,23.6,25.3,4.7,30.8,12.7,7.1,6.1,39437,40917,63028
81,965,"048 Drumcondra South B, Dublin City",0.6,2.7,21.5,26.6,5,31.6,12.1,11.8,8.8,40557,41758,48970
191,"1,580","049 Drumcondra South C, Dublin City",0.5,2.2,19.7,22.4,5.6,36.5,13.1,4.4,14.5,42154,44800,55909
106,997,"050 Edenmore, Dublin City",..,5.6,17.8,16.2,6.2,29.6,24.6,18.6,20.9,26528,32039,37756
102,"1,160","051 Finglas North A, Dublin City",0.7,4.7,16.1,7.9,9.4,31.0,30.2,24.6,15.5,25002,26138,37594
94,"1,020","052 Finglas North B, Dublin City",..,5.4,16.2,9.3,7.7,30.3,31.0,22,18.9,25369,25625,35123
185,"1,529","053 Finglas North C, Dublin City",0.4,3.8,15.6,12.8,8.8,34.7,23.8,12.7,17.4,31763,34300,45740
98,"1,033","054 Finglas South A, Dublin City",..,6.1,16.5,9.6,9.9,28.6,29.2,24.9,16.5,24045,28642,35349
142,"1,614","055 Finglas South B, Dublin City",0.1,6,19.9,12.1,8,25.4,28.6,22.4,12.2,24876,28377,37717
57,830,"056 Finglas South C, Dublin City",..,4.8,15.8,7.9,8,28.6,34.9,25.9,20.4,22271,24899,35801
65,851,"057 Finglas South D, Dublin City",0.2,5.9,17.6,7.5,9.5,31.0,28.4,20.4,19.9,26115,29822,38353
288,"2,640","058 Grace Park, Dublin City",0.2,2.9,21.5,21.2,5.8,32.9,15.4,6,13.2,41547,41325,62220
465,"4,480","059 Grange A, Dublin City",0.2,5,19.2,17.1,7.6,25.2,25.8,9.9,7.3,30316,37035,56740
265,"2,663","060 Grange B, Dublin City",..,3.3,22.3,21.4,6.5,22.8,23.7,14.6,4.6,29454,35276,52073
156,"1,144","061 Grange C, Dublin City",0.2,6,18.8,14,8.3,25.4,27.4,10.5,26.6,26867,33853,42326
170,"1,643","062 Grange D, Dublin City",0.1,3.3,21.5,20.8,4.8,29.8,19.8,10.4,16.1,30033,40505,49145
138,987,"063 Grange E, Dublin City",..,5.6,19.1,14.8,5.9,31.4,23.2,13.2,24.5,30054,35847,42679
146,"1,146","064 Harmonstown A, Dublin City",..,5.1,19.5,15.9,7.2,29.1,23.1,8.3,23,30652,33871,45732
124,"1,159","065 Harmonstown B, Dublin City",0.5,3.4,18.3,18,7.4,29.4,23.1,11.4,14.7,32433,36958,50960
135,"1,602","066 Inns Quay A, Dublin City",..,3.1,19.5,19.9,3.1,38.6,15.7,12,10.4,33317,29893,41620
184,"1,869","067 Inns Quay B, Dublin City",0.5,3.3,20.1,22.6,3,30.1,20.3,15.1,9.8,27000,26813,33680
98,"1,285","068 Inns Quay C, Dublin City",..,2.9,21.1,24,3.7,24.7,23.7,23.4,10.3,24750,27238,32561
166,"1,649","069 Kilmore A, Dublin City",..,4.4,17.7,11.9,8.2,32.3,25.5,14.9,9.1,30984,35702,53567
59,897,"070 Kilmore B, Dublin City",..,6.1,15.2,9.8,8.9,30.8,29.2,22.2,23.2,25350,30336,35158
43,444,"071 Kilmore C, Dublin City",..,6.4,13.8,10.3,9,27.4,33.0,27,20.6,24624,24894,34210
120,801,"072 Kilmore D, Dublin City",0.9,4.6,19.7,10.8,8.9,28.1,27.1,8.3,28,30573,35249,43228
151,"2,368","073 Mountjoy A, Dublin City",..,3.1,28.6,27.6,2.9,18.3,19.6,26.9,7.1,24501,28938,31890
126,"1,951","074 Mountjoy B, Dublin City",0.1,4.6,29.9,17.6,3.3,16.3,28.2,20.1,4.7,20521,23157,29090
227,"2,998","075 North City, Dublin City",0.4,1.5,24.3,33.8,2.6,15.1,22.3,10.9,3.8,28987,31632,44053
83,742,"076 North Dock A, Dublin City",..,3.2,22.5,30.8,3.4,24.5,15.6,12,12.2,33000,35027,44197
320,"4,373","077 North Dock B, Dublin City",0.2,1.7,27.7,38.2,3,15.7,13.5,10.3,7.2,36489,35784,56062
138,"2,138","078 North Dock C, Dublin City",0.4,2,28.7,41.2,2.7,14.7,10.2,16.9,6.5,38481,37177,48549
90,849,"079 Phoenix Park, Dublin City",0.6,1.6,25.9,28.7,6.7,26.8,9.7,8.4,4.4,41028,42622,60561
88,708,"080 Priorswood A, Dublin City",0.9,6.7,15.3,9.7,12.5,24.5,30.4,17.1,9.7,28671,29056,48724
40,804,"081 Priorswood B, Dublin City",1.2,6.4,15.8,7.5,14.5,25.3,29.3,35.1,10.3,21535,23502,38195
133,"1,792","082 Priorswood C, Dublin City",..,5,18.1,10.7,8.7,24.0,33.5,28.2,6.5,23303,27886,37776
83,941,"083 Priorswood D, Dublin City",0.1,5.9,18.6,9.7,9.1,25.8,30.9,23.2,17.5,23721,28253,38127
139,"1,225","084 Priorswood E, Dublin City",0.2,7.5,15.9,10.5,11.2,24.9,29.8,11.9,14.9,28952,31285,47092
126,935,"085 Raheny-Foxfield, Dublin City",..,4,21.4,21,4.2,29.1,20.4,5.5,18.6,33524,38927,56204
107,794,"086 Raheny-Greendale, Dublin City",0.1,5.4,19.2,19.1,7.4,27.0,22.0,10.9,20.5,31876,33070,43275
185,"1,542","087 Raheny-St. Assam, Dublin City",0.4,1.4,27.9,23.8,5.6,25.5,15.4,3.6,15.6,44908,47891,58684
266,"2,722","088 Rotunda A, Dublin City",..,4.1,25.1,20.3,2.8,19.0,28.7,21.9,6.1,21400,24254,30822
106,"1,245","089 Rotunda B, Dublin City",..,2,26.2,33.5,3.3,16.3,18.7,21.4,4.4,28049,32284,33021
161,"1,075","090 Whitehall A, Dublin City",0.7,2.1,19.6,22.5,5.3,34.0,15.8,3.7,17.4,41059,45526,53018
236,"1,674","091 Whitehall B, Dublin City",0.4,3.4,18.5,16.1,5.3,36.1,20.3,7.8,20.4,34457,36891,45957
102,949,"092 Whitehall C, Dublin City",..,3.2,18.4,17.2,4.1,32.9,24.1,7.8,16.8,34043,36634,48169
145,"1,495","093 Whitehall D, Dublin City",0.4,2.8,20.4,20.5,4.2,37.0,14.8,8.5,13.7,39285,39898,50770
169,"1,681","094 Chapelizod, Dublin City",0.3,3.1,17.5,23.4,5.2,35.7,14.7,9.3,7.5,41083,40050,57021
65,"1,100","095 Cherry Orchard A, Dublin City",0.1,5.5,15.7,12.3,7.6,29.5,29.4,32.8,1.3,25027,30576,38117
85,"1,021","096 Carna, Dublin City",..,6.1,16.9,10,9.1,27.6,30.3,24.4,19.2,26032,28060,35044
155,"1,683","097 Cherry Orchard C, Dublin City",..,5.4,20.3,16.8,7.5,20.9,29.1,25.6,6.1,24851,25782,41881
177,"1,559","098 Crumlin A, Dublin City",0.6,4.1,18.3,14.2,7.9,31.1,23.7,14.2,19.5,30195,31015,41041
122,"1,180","099 Crumlin B, Dublin City",0.1,4.4,18.4,16.2,5,31.1,24.8,15.2,23,30765,33166,38444
93,981,"100 Crumlin C, Dublin City",..,2.3,24.4,22.3,5.4,28.7,17.0,15.9,15.9,32797,33940,42066
168,"1,726","101 Crumlin D, Dublin City",0.4,4.2,16.7,17.7,8.2,31.8,21.0,15.7,17.7,32073,33426,40746
116,"1,099","102 Crumlin E, Dublin City",0.6,5.1,16.2,15,10.2,32.7,20.1,18,20,28998,34145,38083
143,"1,256","103 Crumlin F, Dublin City",0.6,2.7,16.7,14.3,7.3,38.4,19.9,9.8,18.6,33625,35402,45259
84,980,"104 Decies, Dublin City",0.8,4.3,14.7,11.1,5.6,37.7,25.7,23.6,19.5,25576,29890,34826
128,"1,251","105 Drumfinn, Dublin City",0.6,5.5,16.2,9.5,8.5,29.1,30.5,23.2,18.7,25524,28792,36250
138,"1,183","106 Inchicore A, Dublin City",..,3.2,15.5,23.4,7.3,32.7,18.0,13.6,16.5,33674,34482,41553
97,841,"107 Inchicore B, Dublin City",..,7.1,19.1,13.7,6.9,23.7,29.5,26.4,17.2,28248,27340,30084
96,"1,057","108 Kilmainham A, Dublin City",0.8,3.7,17.1,14.2,7.2,32.8,24.2,20.6,16.1,28419,29692,35193
131,"1,360","109 Kilmainham B, Dublin City",0.1,1.5,19.8,26.4,5.3,33.5,13.5,11,9.1,43123,39180,56245
225,"2,380","110 Kilmainham C, Dublin City",0.1,2.7,20.4,24.3,4.9,30.9,16.8,19.3,11.3,32968,34518,42591
67,769,"111 Kimmage A, Dublin City",..,6.8,19,14.4,6,32.3,21.5,20.3,16.6,28800,28009,39108
141,"1,464","112 Kimmage B, Dublin City",0.1,4,17.2,16.2,7.9,31.3,23.4,16.3,21.5,29815,32661,39006
154,"1,618","113 Kimmage C, Dublin City",0.4,2.9,25.8,27.7,3.1,29.6,10.4,9.8,8.3,38623,39562,56043
116,"1,139","114 Kimmage D, Dublin City",0.7,4,22.3,22.6,5.5,29.1,15.9,13.5,16.4,33235,35058,44424
157,"1,526","115 Kimmage E, Dublin City",0.2,3.6,21.6,18.8,6.1,30.0,19.6,15.6,15.1,33812,34696,45051
82,905,"116 Kylemore, Dublin City",..,6.4,15.7,7.7,9.7,27.8,32.7,24.3,19.3,27207,27312,35168
149,"1,835","117 Mansion House A, Dublin City",0.4,1.9,22.7,40.9,3.1,17.3,13.8,22.5,9.6,34283,33770,35885
61,515,"118 Mansion House B, Dublin City",..,0.5,23.8,35,4.7,20.7,15.4,4.7,3.8,44193,48702,57247
57,"1,295","119 Merchants Quay A, Dublin City",..,2.1,22.5,30.3,3.6,20.2,21.2,25.5,5.9,28091,28456,32881
152,"2,252","120 Merchants Quay B, Dublin City",..,2.1,21.9,32.2,2.4,22.6,18.8,10.4,6,30324,32704,42329
143,"1,867","121 Merchants Quay C, Dublin City",0.4,1.9,21.5,32.8,2.7,22.1,18.5,17.8,10.1,29750,31037,37692
132,"1,160","122 Merchants Quay D, Dublin City",..,2,17.9,34.2,3.2,30.5,12.2,7.3,12.6,37893,43059,52524
91,"1,035","123 Merchants Quay E, Dublin City",0.8,1.5,19.4,34.3,5.1,24.1,14.7,10.8,4.9,38130,35214,47353
77,"1,081","124 Merchants Quay F, Dublin City",..,3.3,22.9,25.1,4,25.9,18.8,19.9,6.6,30015,29811,36526
206,"2,689","125 Pembroke East A, Dublin City",..,2.8,24.5,37.1,3.7,18.5,13.5,13.8,11.4,39880,35782,52841
189,"1,838","126 Pembroke East B, Dublin City",0.3,1.7,24.1,33.3,4.7,26.9,9.1,2.6,10.1,52672,51189,76865
201,"1,922","127 Pembroke East C, Dublin City",0.2,0.8,26,34.5,3.3,26.9,8.4,2.4,8.6,55302,52980,80154
242,"2,237","128 Pembroke East D, Dublin City",0.3,0.9,22.3,32.3,2.9,29.6,11.7,5.6,9.9,49368,45892,69820
154,"1,942","129 Pembroke East E, Dublin City",0.3,1.7,27.2,37.7,3.3,22.1,7.6,1.1,6.4,56066,53371,89620
250,"2,948","130 Pembroke West A, Dublin City",0.2,1,24.3,48.5,3.3,15.8,7.0,3.9,10.3,54674,49700,78000
150,"1,588","131 Pembroke West B, Dublin City",0.4,1.8,25.3,41.9,3.4,19.7,7.6,3.8,3.9,58470,62886,85780
238,"2,667","132 Pembroke West C, Dublin City",0.2,0.6,26.4,43.4,2.1,19.3,8.0,3.7,4.4,50928,44793,67714
192,"1,897","133 Rathfarnham, Dublin City",0.2,1.4,22.6,27.8,3.7,33.9,10.4,3.7,5.7,48289,48591,72432
243,"2,729","134 Rathmines East A, Dublin City",0.2,0.6,27,36.6,3,22.4,10.2,5.7,6.2,48777,46612,63520
277,"3,295","135 Rathmines East B, Dublin City",0.2,1,26.3,38.2,3.7,22.2,8.4,2.9,5.7,56057,51383,88134
148,"1,623","136 Rathmines East C, Dublin City",0.4,1.3,24,35.5,4,26.9,7.8,2.9,7.3,53927,48000,79917
138,"1,608","137 Rathmines East D, Dublin City",0.3,1,23.4,37.5,3.5,24.4,9.8,4.8,5.1,46062,42254,69205
266,"3,478","138 Rathmines West A, Dublin City",0.2,1.1,24.2,34.7,3.4,23.7,12.7,10.5,8.9,37753,37449,44478
192,"2,316","139 Rathmines West B, Dublin City",0.2,1.4,25.5,36.6,3.2,21.3,11.9,10.5,4.8,37457,37675,48247
148,"1,425","140 Rathmines West C, Dublin City",0.4,1.5,21.8,36.6,3.7,25.1,10.9,5.7,3,43623,41697,67974
175,"1,668","141 Rathmines West D, Dublin City",0.1,1.7,23,31.8,2.5,29.3,11.6,9.1,7.1,40790,39996,54690
209,"1,896","142 Rathmines West E, Dublin City",0.3,1.8,22.7,31,4.5,29.7,10.1,7.2,5.8,44278,42548,60649
183,"1,671","143 Rathmines West F, Dublin City",0.4,1.3,21.2,36.7,3.2,27.0,10.2,10.1,3.5,39566,37010,54702
155,"1,773","144 Royal Exchange A, Dublin City",0.5,0.9,20.1,39.3,3.5,21.0,14.7,13.2,7.6,36567,37587,41119
57,792,"145 Royal Exchange B, Dublin City",1.6,3.6,24.5,30.4,3.6,18.2,18.1,27.2,11.5,24939,25218,28367
244,"2,787","146 St. Kevin's, Dublin City",0.3,1.1,22.8,41.1,2.5,19.6,12.6,9.8,5.3,38769,35712,49822
310,"4,387","147 South Dock, Dublin City",0.1,0.8,22.9,52.2,3.1,13.4,7.5,6.8,4.7,51303,42402,76331
224,"1,984","148 Terenure A, Dublin City",0.3,2,19.1,28,4.5,33.2,12.9,6.6,9.9,39407,40246,57234
215,"1,719","149 Terenure B, Dublin City",0.3,2.2,18.6,28.5,5,34.1,11.3,7.5,11.1,42322,45648,61432
93,759,"150 Terenure C, Dublin City",0.1,2.4,22.9,24.7,5.3,30.1,14.4,2.9,8.3,46163,59548,84266
44,331,"151 Terenure D, Dublin City",..,4,24.6,29.8,6,24.1,11.5,2.2,7.7,40421,55710,96130
217,"2,583","152 Ushers A, Dublin City",0.1,1.2,19,36.7,3.5,27.3,12.2,7.7,3.8,41647,39999,67561
71,737,"153 Ushers B, Dublin City",0.9,3,21.6,25.7,4.1,25.8,18.9,20.2,3.7,26199,31510,38143
127,"1,890","154 Ushers C, Dublin City",0.5,2.7,22.1,21.7,4.2,27.3,21.5,25.4,8.9,28168,29752,35760
101,"1,118","155 Ushers D, Dublin City",0.2,3,19.2,23.7,3.4,34.5,16.0,19.7,8.5,31168,28107,36346
77,734,"156 Ushers E, Dublin City",0.1,2.7,23.3,19.4,4,33.6,16.9,26.4,10.8,30440,33038,32750
150,"1,635","157 Ushers F, Dublin City",..,1.4,16.6,26.7,3.9,40.6,10.9,12.2,8.6,44081,46549,54596
134,"1,239","158 Walkinstown A, Dublin City",0.1,3.6,15.9,17.2,7.7,35.6,19.9,15.2,13.8,32789,35674,46842
134,823,"159 Walkinstown B, Dublin City",0.7,5.1,17.9,17.5,7.8,28.0,22.8,11.1,19.6,33132,35780,43510
