Electoral Division,Highest Education Level,Total Hours Worked
151 Terenure D,44,331
152 Ushers A,217,"2,583"
153 Ushers B,71,737
154 Ushers C,127,"1,890"
155 Ushers D,101,"1,118"
156 Ushers E,77,734
157 Ushers F,150,"1,635"
158 Walkinstown A,134,"1,239"
159 Walkinstown B,134,823
160 Walkinstown C,167,919
161 Wood Quay A,101,"1,037"
162 Wood Quay B,180,"1,939"
001 Ballinascorney,53,378
002 Ballyboden,337,"2,346"
003 Bohernabreena,239,"1,920"
004 Clondalkin-Ballymount,152,951
005 Clondalkin-Cappaghmore,62,746
006 Clondalkin-Dunawley,469,"4,373"
007 Clondalkin-Monastery,727,"5,155"
008 Clondalkin-Moorfield,228,"2,383"
009 Clondalkin-Rowlagh,112,"1,455"
010 Clondalkin Village,547,"4,167"
011 Edmondstown,296,"2,458"
012 Firhouse-Ballycullen,487,"4,054"
013 Firhouse-Knocklyon,238,"1,490"
014 Firhouse Village,757,"5,552"
015 Lucan-Esker,"1,704","14,558"
016 Lucan Heights,316,"2,152"
017 Lucan-St. Helen's,678,"4,826"
018 Newcastle,312,"1,905"
019 Palmerston Village,251,"1,477"
020 Palmerston West,365,"3,001"
021 Rathcoole,392,"2,307"
022 Rathfarnham-Ballyroan,160,985
023 Rathfarnham-Butterfield,189,"1,346"
024 Rathfarnham-Hermitage,279,"2,173"
025 Rathfarnham-St. Enda's,239,"1,751"
026 Rathfarnham Village,206,"1,402"
027 Saggart,309,"2,215"
028 Tallaght-Avonbeg,54,508
029 Tallaght-Belgard,120,732
030 Tallaght-Fettercairn,207,"2,664"
031 Tallaght-Glenview,104,906
032 Tallaght-Jobstown,739,"6,513"
033 Tallaght-Killinardan,110,"1,262"
034 Tallaght-Kilnamanagh,344,"2,102"
035 Tallaght-Kiltipper,386,"3,421"
036 Tallaght-Kingswood,284,"1,863"
037 Tallaght-Millbrook,207,"1,288"
038 Tallaght-Oldbawn,330,"2,005"
039 Tallaght-Springfield,628,"4,730"
040 Tallaght-Tymon,261,"1,845"
041 Templeogue-Cypress,167,"1,091"
042 Templeogue-Kimmage Manor,265,"2,232"
043 Templeogue-Limekiln,233,"1,420"
044 Templeogue-Orwell,136,832
045 Templeogue-Osprey,124,"1,011"
046 Templeogue Village,120,939
047 Terenure-Cherryfield,144,946
048 Terenure-Greentrees,177,"1,143"
049 Terenure-St. James,197,885
001 Airport,266,"2,623"
002 Balbriggan Rural,716,"6,345"
003 Balbriggan Urban,411,"3,144"
004 Baldoyle,398,"3,265"
005 Balgriffin,135,"1,280"
006 Ballyboghil,67,486
007 Balscadden,43,314
008 Blanchardstown-Abbotstown,281,"2,927"
009 Blanchardstown-Blakestown,"2,035","17,656"
010 Blanchardstown-Coolmine,488,"4,669"
011 Blanchardstown-Corduff,142,"1,469"
012 Blanchardstown-Delwood,308,"2,410"
013 Blanchardstown-Mulhuddart,166,"1,598"
014 Blanchardstown-Roselawn,100,655
015 Blanchardstown-Tyrrelstown,91,"1,021"
016 Castleknock-Knockmaroon,990,"9,098"
017 Castleknock-Park,312,"2,679"
018 Clonmethan,41,358
019 Donabate,496,"4,178"
020 Dubber,360,"3,737"
021 Garristown,98,630
022 Hollywood,89,671
023 Holmpatrick,238,"1,412"
024 Howth,435,"3,169"
025 Kilsallaghan,122,901
026 Kinsaley,542,"4,832"
027 Lucan North,78,591
028 Lusk,543,"4,193"
029 Malahide East,387,"3,227"
030 Malahide West,339,"2,641"
031 Portmarnock North,254,"1,606"
032 Portmarnock South,225,"1,659"
033 Rush,574,"4,281"
034 Skerries,470,"3,502"
035 Sutton,347,"2,347"
036 Swords-Forrest,885,"7,967"
037 Swords-Glasmore,428,"3,466"
038 Swords-Lissenhall,604,"4,998"
039 Swords-Seatown,373,"3,413"
040 Swords Village,166,"1,366"
041 The Ward,472,"4,381"
042 Turnapin,72,816
001 Ballinteer-Broadford,162,"1,145"
002 Ballinteer-Ludford,168,766
003 Ballinteer-Marley,138,"1,003"
004 Ballinteer-Meadowbroads,110,651
005 Ballinteer-Meadowmount,112,715
006 Ballinteer-Woodpark,322,"2,513"
007 Ballybrack,175,"1,131"
008 Blackrock-Booterstown,163,"1,705"
009 Blackrock-Carysfort,272,"2,813"
010 Blackrock-Central,171,"1,623"
011 Blackrock-Glenomena,58,776
012 Blackrock-Monkstown,170,"1,482"
013 Blackrock-Newpark,145,894
014 Blackrock-Seapoint,64,622
015 Blackrock-Stradbrook,119,"1,045"
016 Blackrock-Templehill,124,"1,212"
017 Blackrock-Williamstown,117,"1,321"
018 Cabinteely-Granitefield,171,"1,067"
019 Cabinteely-Kilbogget,131,997
020 Cabinteely-Loughlinstown,225,"2,369"
021 Cabinteely-Pottery,257,"2,089"
022 Churchtown-Castle,100,694
023 Churchtown-Landscape,85,609
024 Churchtown-Nutgrove,154,"1,359"
025 Churchtown-Orwell,99,798
026 Churchtown-Woodlawn,103,651
027 Clonskeagh-Belfield,50,434
028 Clonskeagh-Farranboley,105,742
029 Clonskeagh-Milltown,105,872
030 Clonskeagh-Roebuck,100,"1,132"
031 Clonskeagh-Windy Arbour,137,"1,175"
032 Dalkey-Avondale,73,488
033 Dalkey-Bullock,97,679
034 Dalkey-Coliemore,80,525
035 Dalkey Hill,83,530
036 Dalkey Upper,106,803
037 Dundrum-Balally,491,"3,915"
038 Dundrum-Kilmacud,196,"1,663"
039 Dundrum-Sandyford,444,"4,135"
040 Dundrum-Sweetmount,122,964
041 Dundrum-Taney,131,"1,018"
042 Dún Laoghaire-East Central,131,"1,150"
043 Dún Laoghaire-Glasthule,150,"1,098"
044 Dún Laoghaire-Glenageary,104,833
045 Dún Laoghaire-Monkstown Farm,115,"1,001"
046 Dún Laoghaire-Mount Town,70,728
