Electoral Division,Highest Education Level,Total Hours Worked
046 Aghancon,21,145
047 Ballincor,11,71
048 Barna,6,64
049 Cangort,9,77
050 Cullenwaine,34,287
051 Dunkerrin,28,141
052 Ettagh,34,222
053 Gorteen,17,115
054 Mountheaton,19,232
055 Roscomroe,3,56
056 Shinrone,49,331
057 Templeharry,10,96
058 Tulla,5,41
059 Ballycommon,39,270
060 Ballyshear,26,157
061 Bawn,20,144
062 Cappancur,93,638
063 Clara,153,"1,358"
064 Clonygowan,40,220
065 Daingean,66,554
066 Derrycooley,24,103
067 Durrow,63,343
068 Geashill,88,669
069 Gorteen,20,144
070 Hammerlane,42,252
071 Kilclonfert,20,151
072 Kilcumreragh,46,245
073 Killeigh,66,520
074 Killooly,24,120
075 Killoughy,55,318
076 Mountbriscoe,11,94
077 O'Dempsey,8,60
078 Portarlington North,132,846
079 Rahan,43,288
080 Raheenakeeran,19,147
081 Rathfeston,27,168
082 Rathrobin,27,165
083 Screggan,84,565
084 Silverbrook,41,347
085 Tinamuck,25,116
086 Tinnycross,25,177
087 Tullamore Rural,212,"1,364"
001 Athlone East Urban,226,"1,639"
002 Athlone West Urban,128,"1,207"
003 Athlone East Rural,383,"2,675"
004 Auburn,58,337
005 Ballybroder,16,96
006 Bellanalack,40,257
007 Carn,45,337
008 Castledaly,38,313
009 Glassan,61,395
010 Kilcumreragh,32,153
011 Killinure,31,188
012 Moate,166,"1,268"
013 Mount Temple,46,284
014 Moydrum,200,"1,283"
015 Muckanagh,12,69
016 Tubbrit,34,293
017 Umma,12,129
018 Ardnagragh,17,184
019 Ballymore,27,288
020 Doonis,18,105
021 Drumraney,20,115
022 Noughaval,28,173
023 Piercetown,5,45
024 Templepatrick,8,80
025 Winetown,9,55
026 Boherquill,12,47
027 Coole,13,93
028 Coolure,27,125
029 Finnea,17,102
030 Glore,12,74
031 Knockarrow,4,42
032 Rathowen,16,143
033 Street,10,87
034 Ballinlough,13,69
035 Ballyhealy,14,118
036 Ballynaskeagh,21,110
037 Bracklin,21,101
038 Clonarney,38,188
039 Collinstown,49,189
040 Copperalley,27,114
041 Delvin,56,373
042 Faughalstown,16,92
043 Fore East,36,162
044 Fore West,31,165
045 Hilltown,15,112
046 Kilcumny,11,72
047 Killua,60,422
048 Killulagh,31,178
049 Kilpatrick,14,87
050 Kinturk,72,461
051 Riverdale,38,168
052 Rosmead,21,131
053 Ardnaglew,19,108
085 Ballinalack / Lackan,32,193
055 Ballykilmore,59,278
056 Ballymorin,19,148
057 Ballynagore,35,215
058 Belvidere,55,319
059 Carrick,36,158
060 Castle,61,389
061 Castlelost,92,590
062 Castletown,49,291
063 Churchtown,27,146
064 Cloghan,21,155
065 Clonfad,35,238
066 Clonlost,31,196
067 Derrymore,19,117
068 Dysart,16,93
069 Emper,12,95
070 Enniscoffey,32,172
071 Gaybrook,37,191
072 Glenlough,10,75
073 Greenpark,13,105
074 Griffinstown,52,247
075 Heathstown,53,298
076 Hopestown,41,234
077 Huntingdon,34,183
078 Jamestown,11,58
079 Kilbeggan,96,656
080 Kilbixy,18,210
081 Killare,19,141
082 Killucan,118,702
083 Kinnegad,147,"1,087"
084 Knockdrin,35,250
086 Lauree,14,73
087 Middleton,33,153
088 Milltown,20,103
089 Mullingar Rural,596,"4,372"
090 Mullingar North Urban,252,"1,721"
091 Mullingar South Urban,273,"1,820"
092 Multyfarnham,38,259
093 Newtown,13,88
094 Owel,42,196
095 Portloman,13,138
096 Raharney,22,201
097 Rahugh,24,127
098 Rathconrath,19,159
099 Russellstown,28,219
100 Skeagh,14,99
101 Sonna,28,150
102 Stonehall,12,93
103 Streamstown,35,156
104 Taghmon,26,169
105 Tullaghan,25,178
106 Woodland,15,121
001 Enniscorthy Urban,98,773
002 New Ross Urban,179,"1,311"
003 Rosbercon Urban,60,254
004 Wexford No. 1 Urban,77,589
005 Wexford No. 2 Urban,159,"1,478"
006 Wexford No. 3 Urban,58,487
007 Ballindaggan,48,326
008 Ballycarney,22,182
009 Ballyhoge,63,489
010 Ballyhuskard,91,645
011 Ballymore,26,187
012 Ballyvaldon,39,281
013 Bolaboy,60,443
014 Bree,92,546
015 Castleboro,46,386
016 Castledockrell,17,198
017 Castle Ellis,61,469
018 Castle Talbot,44,310
019 Clonroche,42,434
020 Edermine,58,536
021 Enniscorthy Rural,486,"3,452"
022 Ferns,65,582
023 Kilbora,20,160
024 Kilcormick,43,263
025 Killann,55,455
026 Kilmallock,87,595
027 Killoughrum,38,395
028 Kilrush,19,196
029 Kiltealy,29,192
030 Marshalstown,64,467
031 Moyacomb,25,176
032 Newtownbarry,122,769
033 Rossard,24,180
034 St. Mary's,43,313
035 The Harrow,27,201
036 The Leap,46,423
037 Tinnacross,51,397
038 Tombrack,41,301
039 Ardamine,188,"1,201"
040 Balloughter,21,214
041 Ballybeg,32,234
042 Ballycanew,62,421
043 Ballyellis,27,156
044 Ballygarrett,48,316
045 Ballylarkin,57,314
046 Ballynestragh,74,481
047 Cahore,31,159
048 Coolgreany,65,446
049 Courtown,138,"1,029"
050 Ford,28,209
051 Gorey Rural,336,"2,604"
052 Gorey Urban,157,"1,313"
053 Huntingtown,9,125
054 Kilcomb,58,404
055 Kilgorman,53,323
056 Killenagh,26,208
057 Killincooly,29,199
058 Kilnahue,19,188
059 Limerick,46,385
060 Monamolin,38,333
061 Monaseed,34,275
062 Rossminoge,31,264
063 Wells,35,300
064 Wingfield,41,380
065 Adamstown,33,216
066 Ballyanne,41,290
067 Ballyhack,81,465
068 Barrack Village,8,38
069 Barronstown,52,244
070 Carnagh,38,224
071 Carrickbyrne,40,213
072 Clongeen,50,348
073 Clonleigh,21,186
074 Dunmain,21,126
075 Fethard,52,324
076 Horetown,31,242
077 Inch,40,216
078 Kilgarvan,20,140
079 Killesk,43,274
080 Kilmokea,46,259
081 Newbawn,38,215
082 New Ross Rural,246,"1,468"
083 Oldcourt,49,311
084 Old Ross,38,195
085 Rathroe,62,322
086 Rochestown,12,98
087 Templeludigan,21,187
088 Templetown,45,221
089 Tintern,106,613
090 Whitechurch,58,251
091 Whitemoor,47,231
092 Ardcavan,137,"1,150"
093 Ardcolm,58,350
094 Artramon,45,255
095 Aughwilliam,36,221
096 Ballymitty,32,189
097 Bannow,74,423
098 Bridgetown,59,321
099 Carrick,129,753
100 Drinagh,56,464
101 Duncormick,40,251
102 Forth,54,310
103 Glynn,31,231
104 Harperstown,32,207
105 Harristown,37,193
106 Kilbride,16,140
107 Kilcowan,32,215
108 Killag,21,183
109 Killinick,53,344
110 Killurin,40,301
111 Kilmore,109,819
112 Kilpatrick,35,317
113 Kilscoran,49,349
114 Lady's Island,50,233
115 Mayglass,44,247
116 Newcastle,36,230
117 Rathaspick,99,730
118 Rosslare,118,732
119 St. Helen's,128,832
120 Tacumshin,25,214
121 Taghmon,37,333
122 Tomhaggard,31,224
123 Wexford Rural,643,"4,969"
124 Whitechurch,21,220
001 Arklow No. 1 Urban,543,"3,572"
002 Arklow No. 2 Urban,168,"1,157"
003 Bray No. 1,74,758
004 Bray No. 2,380,"2,676"
005 Bray No. 3,372,"2,719"
006 Rathmichael (Bray),69,838
007 Wicklow Urban,389,"2,565"
008 Ballinguile,8,58
009 Baltinglass,155,993
010 Blessington,308,"1,997"
011 Burgage,142,874
012 Donaghmore,33,171
013 Donard,35,218
014 Dunlavin,83,509
015 Eadestown,15,84
016 Hartstown,16,123
017 Hollywood,70,325
018 Humewood,27,147
019 Imael North,16,107
020 Imael South,10,120
021 Kilbride,85,442
022 Lackan,67,344
023 Lugglass,13,77
024 Rathdangan,36,177
025 Rathsallagh,11,120
026 Stratford,28,196
027 Talbotstown,18,196
028 The Grange,25,190
029 Tober,40,202
030 Togher,29,136
031 Tuckmill,16,112
032 Delgany,339,"2,464"
033 Enniskerry,170,"1,182"
034 Greystones,390,"2,934"
035 Kilmacanoge,745,"6,289"
036 Powerscourt,43,364
037 Altidore,29,170
038 Arklow Rural,72,526
039 Aughrim,106,646
040 Avoca,48,277
041 Ballinaclash,31,252
042 Ballinacor,25,152
043 Ballinderry,32,208
044 Ballyarthur,77,445
045 Ballycullen,18,148
046 Brockagh,53,358
047 Calary,28,147
048 Cronebane,32,196
049 Dunganstown East,38,328
050 Dunganstown South,50,356
051 Dunganstown West,22,199
052 Ennereilly,22,169
053 Glendalough,27,113
054 Glenealy,155,"1,153"
055 Kilbride,69,307
056 Kilcoole,564,"4,877"
057 Killiskey,56,432
058 Knockrath,17,94
059 Moneystown,23,146
060 Newcastle Lower,128,"1,003"
061 Newcastle Upper,260,"1,782"
062 Oldtown,50,275
063 Rathdrum,118,923
064 Togher,88,560
065 Trooperstown,35,146
066 Wicklow Rural,414,"3,265"
067 Aghowle,12,104
068 Ballingate,32,163
069 Ballinglen,15,101
070 Ballybeg,6,75
071 Carnew,92,607
072 Coolattin,19,115
073 Coolballintaggart,27,188
074 Coolboy,32,240
075 Cronelea,7,79
076 Kilballyowen,28,155
077 Killinure,16,139
078 Kilpipe,25,196
079 Money,6,61
080 Rath,14,118
081 Shillelagh,32,233
082 Tinahely,79,586
001 Ennis No. 1 Urban,57,489
002 Ennis No. 2 Urban,61,640
003 Ennis No. 3 Urban,10,99
004 Ennis No. 4 Urban,85,519
005 Kilrush Urban,123,749
006 Abbey,36,192
007 Carran,1,43
009 Derreen,6,37
010 Drumcreehy,17,172
011 Gleninagh,14,65
012 Lisdoonvarna,48,311
013 Mountelva,5,39
008 Noughaval / Castletown,9,81
015 Oughtmama,8,62
016 Rathborney,4,43
018 Boston,13,153
019 Corrofin,87,536
017 Glenroe / Ballyeighter,15,88
021 Killinaboy,19,152
022 Kiltoraght,9,74
023 Muckanagh,18,148
024 Rath,16,109
025 Ruan,38,271
026 Clareabbey,228,"1,253"
027 Clenagh,698,"4,350"
028 Crusheen,62,447
029 Doora,152,890
030 Drumline,60,330
031 Dysert,19,141
032 Ennis Rural,"1,144","7,508"
033 Furroor,17,118
034 Kilcloher,59,317
035 Killanniv,53,330
036 Killone,40,304
037 Kilnamona,77,383
038 Kilraghtis,26,207
039 Kinturk,17,113
040 Newmarket,106,794
041 Sixmilebridge,177,"1,149"
042 Spancelhill,51,314
043 Templemaley,104,505
044 Tomfinlough,54,279
045 Urlan,63,399
046 Annagh,40,216
047 Ballagh,12,94
048 Ballyea,50,297
049 Ballysteen,14,167
050 Ballyvaskin,28,152
051 Cloghaun,15,80
052 Cloonanaha,14,117
053 Clooney,19,98
054 Ennistimon,105,844
055 Formoyle,12,86
056 Kilfenora,17,157
057 Killaspuglonane,13,131
058 Killilagh,53,303
059 Kilshanny,11,57
060 Liscannor,21,153
061 Lurraga,22,116
062 Magherareagh,23,131
063 Milltown Malbay,120,635
064 Moy,37,303
065 Smithstown,9,63
066 Ballynacally,16,92
067 Clondagad,34,311
068 Coolmeen,19,100
069 Kilchreest,32,172
070 Kilfiddane,28,157
071 Killadysert,64,366
072 Killofin,10,126
073 Kilmurry,15,124
074 Liscasey,46,237
075 Lisheen,49,281
076 Rinealon,11,83
077 Cahermurphy,11,87
078 Cloonadrum,20,169
079 Clooncoorha,23,143
080 Cooraclare,33,215
081 Creegh,40,188
082 Doonbeg,49,309
083 Drumellihy,23,168
084 Einagh,17,134
085 Glenmore,17,136
086 Kilballyowen,6,97
087 Kilfearagh,22,118
088 Kilkee,37,276
089 Killard,17,105
090 Killimer,29,190
091 Kilmihil,41,239
092 Kilmurry,46,301
093 Kilrush Rural,67,292
094 Knock,11,96
095 Knocknaboley,13,105
096 Knocknagore,15,84
097 Moveen,3,30
098 Moyarta,10,88
099 Mullagh,8,88
100 Querrin,16,78
101 Rahona,11,114
102 St. Martin's,6,39
103 Tullig,10,44
104 Tullycreen,12,55
105 Ballycannan,54,408
106 Ballyglass,392,"2,420"
107 Cappavilla,20,136
108 Castlecrine,41,213
109 Cloghera,47,227
110 Cloontra,19,112
111 Cratloe,112,596
112 Fahymore,28,162
113 Killeely,58,335
114 Killokennedy,14,61
115 Kilseily,56,302
116 Kiltenanlea,147,773
117 Lackareagh,11,60
118 Mountievers,112,555
119 O'Briensbridge,53,248
120 Ayle,19,118
121 Boherglass,26,124
122 Caherhurley,9,71
124 Cappaghabaun,11,69
125 Carrowbaun,9,54
126 Cloonusker,10,83
127 Coolreagh,13,72
123 Corlea / Cahermurphy,18,63
129 Derrynagittagh,9,62
130 Drummaan,53,228
131 Feakle,22,142
133 Inishcaltra North / Inishcaltra South,30,126
134 Killaloe,148,818
135 Mountshannon,30,161
136 Ogonnelloe,48,278
137 Scarriff,81,484
138 Ballyblood,15,63
139 Ballynahinch,17,111
140 Caher,7,90
141 Clooney,35,225
142 Dangan,20,95
143 Glendree,6,65
144 Kilkishen,72,395
145 Killanena,11,96
146 Killuran,38,195
147 Kiltannon,16,78
148 Kyle,25,132
149 Loughea,10,52
150 Newgrove,26,118
151 Quin,121,672
152 Rathclooney,11,71
153 Rossroe,58,315
154 Toberbreeda,12,72
155 Tulla,84,446
001 Ballinlough A,47,329
002 Ballinlough B,112,729
003 Ballinlough C,105,652
004 Ballyphehane A,34,246
005 Ballyphehane B,43,311
006 Bishopstown A,64,458
007 Bishopstown B,98,578
008 Bishopstown C,333,"1,695"
009 Bishopstown D,108,528
010 Bishopstown E,220,"1,401"
011 Blackpool A,30,255
012 Blackpool B,137,"1,168"
013 Browningstown,59,395
014 Centre A,57,391
015 Centre B,103,"1,149"
016 Churchfield,51,560
017 City Hall A,58,452
018 City Hall B,83,699
019 Commons,46,370
020 Evergreen,87,725
021 Fair Hill A,32,216
022 Fair Hill B,21,188
023 Fair Hill C,175,"1,332"
024 Farranferris A,77,765
025 Farranferris B,21,270
026 Farranferris C,24,191
027 Gillabbey A,91,851
028 Gillabbey B,37,252
029 Gillabbey C,55,462
030 Glasheen A,44,298
031 Glasheen B,27,266
032 Glasheen C,135,929
033 Greenmount,99,890
034 Gurranebraher A,29,224
035 Gurranebraher B,35,199
036 Gurranebraher C,41,385
037 Gurranebraher D,37,325
038 Gurranebraher E,36,381
039 Knocknaheeny,107,"1,109"
040 Knockrea A,116,722
041 Knockrea B,86,437
042 Mahon A,325,"2,068"
043 Mahon B,259,"2,050"
044 Mahon C,247,"1,318"
045 Mardyke,46,298
046 Mayfield,75,778
047 Montenotte A,130,772
048 Montenotte B,148,876
049 Pouladuff A,38,291
050 Pouladuff B,68,621
051 St. Patrick's A,84,782
052 St. Patrick's B,72,623
053 St. Patrick's C,65,441
054 Shanakiel,200,"1,548"
055 Shandon A,94,989
056 Shandon B,69,669
057 South Gate A,105,"1,212"
058 South Gate B,37,438
059 Sundays Well A,33,318
060 Sundays Well B,62,457
061 The Glen A,83,649
062 The Glen B,224,"1,367"
063 The Lough,77,594
064 Tivoli A,130,756
065 Tivoli B,180,"1,140"
066 Togher A,88,639
067 Togher B,37,259
068 Tramore A,63,382
069 Tramore B,71,434
070 Tramore C,193,"1,317"
071 Turners Cross A,60,429
072 Turners Cross B,75,526
073 Turners Cross C,46,305
074 Turners Cross D,39,180
001 Clonakilty Urban,265,"1,659"
002 Cobh Urban,473,"2,433"
003 Fermoy Urban,150,925
004 Kinsale Urban,140,970
005 Macroom Urban,263,"1,669"
006 Mallow North Urban,375,"2,407"
007 Mallow South Urban,178,967
008 Midleton Urban,202,"1,583"
009 Skibbereen Urban,169,"1,064"
010 Youghal Urban,425,"2,373"
011 Ballinadee,43,251
012 Ballygroman,142,809
013 Ballymodan,292,"1,787"
014 Ballymurphy,88,438
015 Bandon,154,855
016 Baurleigh,16,152
017 Bengour,14,133
018 Boulteen,46,278
019 Brinny,44,285
020 Cashel,30,197
021 Inishannon,158,888
022 Kilbonane,107,579
023 Kilbrittain,30,275
024 Kilbrogan,190,"1,035"
025 Knockavilly,28,208
026 Knockroe,62,334
027 Moviddy,102,591
028 Murragh,27,221
029 Rathclarin,56,284
030 Teadies,73,383
031 Templemartin,68,349
032 Ahil,11,65
046 Bantry Rural / Whiddy,72,425
034 Bantry Urban,184,"1,162"
035 Douce,12,90
036 Durrus East,21,113
037 Durrus West,41,243
038 Glanlough,10,72
039 Glengarriff,66,397
040 Kealkill,39,245
041 Kilcaskan,57,296
042 Mealagh,19,131
043 Scart,19,144
044 Seefin,33,99
045 Sheepshead,7,63
047 Adrigole,37,181
048 Bear,10,66
049 Coulagh,38,224
050 Curryglass,30,180
051 Kilcatherine,68,322
052 Killaconenagh,79,641
053 Kilnamanagh,18,134
054 Abbeymahon,43,272
055 Ardfield,38,338
056 Argideen,17,172
057 Butlerstown,25,168
058 Cahermore,29,149
059 Castleventry,15,128
060 Clonakilty Rural,129,839
061 Coolcraheen,46,302
062 Courtmacsherry,79,375
063 Derry,47,234
064 Kilkerranmore,41,227
065 Kilmaloda East,23,170
066 Kilmaloda West,13,94
067 Kilmoylerane,16,128
068 Kilnagross,37,278
069 Knocks,21,133
070 Rathbarry,37,218
071 Rosscarbery,66,428
072 Rossmore,26,139
073 Templeomalus,42,314
074 Timoleague,46,293
075 Ballincollig,"1,321","8,292"
076 Ballygarvan,148,764
077 Ballynaglogh,27,188
078 Bishopstown (Part Rural),27,157
079 Blackpool,75,406
080 Blarney,393,"2,369"
081 Caherlag,530,"3,364"
082 Carrigaline,"1,002","5,312"
083 Carrignavar,93,556
084 Carrigrohane Beg,140,647
085 Cobh Rural,630,"3,622"
086 Douglas,"1,638","10,064"
087 Dripsey,120,625
088 Dunderrow,151,736
089 Firmount,62,314
090 Glenville,46,301
091 Greenfort,61,327
092 Inishkenny,412,"2,771"
093 Killeagh,39,298
094 Knockantota,65,447
095 Knockraha,126,665
096 Lehenagh,683,"4,657"
097 Matehy,240,"1,329"
098 Monkstown Rural,89,486
099 Monkstown Urban,397,"2,214"
100 Ovens,199,"1,204"
101 Rathcooney (Part Rural),571,"3,671"
102 Riverstown,333,"2,003"
103 St. Mary's (Part Rural),336,"2,087"
104 Whitechurch,242,"1,324"
105 Aultagh,24,145
106 Ballingurteen,45,267
107 Ballymoney,54,316
108 Béal Átha an Ghaorthaidh,10,83
109 Bealock,17,116
110 Carrigboy,29,193
111 Castletown,24,219
112 Coolmountain,21,151
113 Drinagh,13,100
114 Dunmanway North,78,416
115 Dunmanway South,94,531
116 Garrown,23,118
117 Kinneigh,27,205
118 Manch,34,227
119 Milane,6,74
120 Teerelton,36,256
121 Aghern,20,109
122 Ballyhooly,66,357
123 Ballynoe,45,296
124 Carrig,12,74
125 Castlecooke,15,91
126 Castle Hyde,57,334
127 Castlelyons,81,461
128 Castletownroche,41,351
129 Coole,88,475
130 Curraglass,27,167
131 Fermoy Rural,310,"1,883"
132 Glanworth East,28,187
133 Glanworth West,78,471
134 Gortnaskehy,22,124
135 Gortroe,50,346
136 Kilcor,27,170
137 Kilcummer,14,109
138 Kildinan,43,275
139 Killathy,27,170
140 Kilworth,112,744
141 Knockmourne,65,495
142 Leitrim,28,175
143 Rathcormack,175,"1,096"
144 Watergrasshill,93,709
145 Allow,36,205
146 Ballyhoolahan,11,129
147 Banteer,55,301
148 Barleyhill,39,227
149 Barnacurra,23,100
150 Bawncross,25,158
151 Boherboy,56,271
152 Castlecor,32,184
153 Castlemagner,49,312
154 Clonfert East,21,151
155 Clonfert West,11,74
156 Clonmeen,28,140
157 Coolclogh,31,185
158 Dromina,36,255
159 Glenlara,31,211
160 Gortmore,24,99
161 Greenane,98,540
162 Kanturk,151,754
163 Kilbrin,28,155
164 Kilmeen,23,126
165 Knockatooan,28,158
166 Knocktemple,30,175
167 Meens,32,206
168 Milford,39,293
169 Nad,9,36
170 Newmarket,137,626
171 Newtown,71,381
172 Roskeen,35,192
173 Rosnalee,26,169
174 Rowls,10,64
175 Tincoora,42,205
176 Tullylease,41,188
177 Williamstown,45,217
178 Ballinspittle,42,262
179 Ballyfeard,34,167
180 Ballyfoyle,32,158
181 Ballymackean,28,148
182 Ballymartle,111,546
183 Carrigaline,164,"1,088"
184 Coolmain,31,200
185 Cullen,43,236
186 Farranbrien,43,238
187 Kilmonoge,91,554
188 Kilpatrick,41,240
189 Kinsale Rural,350,"2,067"
190 Kinure,27,154
191 Laherne,45,238
192 Leighmoney,62,328
193 Liscleary,357,"1,934"
194 Nohaval,21,146
195 Templebreedy,309,"1,563"
196 Templemichael,59,321
197 Aghinagh,41,221
198 Aglish,144,655
199 Béal Átha an Ghaorthaidh (Bealanageary),25,232
200 Ceann Droma,24,150
201 Cannaway,49,262
202 Claonráth,17,98
203 Clondrohid,66,412
204 Clonmoyle,40,252
205 Doire Fhínín,23,116
206 Gort na Tiobratan,30,201
207 Gowlane,103,543
208 Greenville,17,115
209 Inchigeelagh,24,234
210 Kilberrihert,60,301
211 Kilcullen,85,388
212 Cill na Martra,58,311
213 Macloneigh,68,369
214 Magourney,89,454
215 Mashanaglass,39,181
216 Mountrivers,39,294
217 Rahalisk,40,243
218 An Sliabh Riabhach,78,377
219 Na hUláin,47,295
220 Warrenscourt,58,327
221 Ardskeagh,32,170
222 Ballyclogh,52,308
223 Ballynamona,74,440
224 Buttevant,107,694
225 Caherduggan,34,276
226 Carrig,19,96
227 Churchtown,69,471
228 Clenor,23,151
229 Doneraile,105,534
230 Dromore,215,"1,066"
231 Imphrick,40,160
232 Kilmaclenine,50,322
233 Kilshannig,62,432
234 Liscarroll,36,246
235 Mallow Rural,317,"1,773"
236 Milltown,32,155
237 Monanimy,62,346
238 Rahan,58,389
239 Rathluirc,275,"1,600"
240 Shanballymore,39,274
241 Skahanagh,8,67
242 Springfort,51,242
243 Streamhill,5,42
244 Templemary,21,149
245 Wallstown,13,111
246 Ballintemple,53,241
247 Ballycottin,120,727
248 Ballyspillane,25,152
249 Carrigtohill,563,"3,279"
250 Castlemartyr,68,480
251 Clonmult,19,98
252 Cloyne,355,"1,834"
253 Corkbeg,206,"1,064"
254 Dangan,13,98
255 Dungourney,68,309
256 Garryvoe,43,272
257 Ightermurragh,182,"1,237"
258 Inch,53,236
259 Lisgoold,93,398
260 Midleton Rural,650,"3,810"
261 Mogeely,42,278
262 Rostellan,96,529
263 Templebodan,46,245
264 Templenacarriga,45,278
265 Caherbarnagh,50,245
266 Coomlogane,73,375
267 Crinnaloo,15,87
268 Cullen,27,175
269 Derragh,18,89
270 Doonasleen,31,189
271 Drishane,203,927
272 Keale,28,156
273 Kilcorney,20,147
274 Knocknagree,48,277
275 Rathcool,29,212
276 Skagh,28,170
277 Ballyarthur,28,126
278 Derryvillane,41,199
279 Farahy,33,162
280 Kildorrery,52,349
281 Kilgullane,15,65
282 Kilphelan,34,199
283 Marshalstown,32,182
284 Mitchelstown,325,"2,008"
285 Templemolaga,28,152
286 Aghadown North,15,123
287 Aghadown South,42,243
288 Bredagh,34,241
289 Caheragh,11,113
290 Cléire,40,135
291 Carrigbaun,26,158
292 Castlehaven North,48,323
293 Castlehaven South,27,175
294 Cloghdonnell,27,166
295 Cloonkeen,20,147
296 Drinagh,31,155
297 Dromdaleague North,21,113
298 Dromdaleague South,42,247
299 Garranes,23,151
300 Gortnascreeny,42,197
301 Kilfaughnabeg,43,197
302 Killeenleagh,17,147
303 Knockskagh,50,230
304 Myross,48,301
305 Shreelane,26,159
306 Skibbereen Rural,80,481
307 Tullagh,42,297
308 Woodfort,21,166
309 Ballybane,21,119
310 Ballydehob,61,345
311 Coolagh,14,63
312 Crookhaven,11,97
313 Dunbeacon,12,86
314 Dunmanus,14,84
315 Goleen,8,84
316 Kilcoe,30,171
317 Lowertown,15,101
318 Skull,73,396
319 Toormore,16,70
320 Ardagh,42,288
321 Clonpriest,78,443
322 Kilcronat,13,73
323 Killeagh,116,630
324 Kilmacdonogh,77,420
325 Youghal Rural,126,506
001 Killarney Urban,653,"4,447"
002 Listowel Urban,258,"1,401"
003 Tralee Urban,189,"1,612"
004 Na Beathacha,16,93
005 Baile an Sceilg,31,146
006 An Baile Breac,3,40
007 Caher,108,705
008 Cathair Dónall,29,132
020 Ceannúigh / Máistir Gaoithe,10,89
010 Castlequin,57,258
012 Curraghbeg,12,82
013 Doire Fhíonáin,13,75
011 Doire Ianna / Cloon,10,91
015 An tImleach,58,342
016 Glanbehy,61,400
017 Killinane,11,108
018 Lickeen,2,36
019 Loch Luíoch,26,110
021 Maum,13,115
022 Portmagee,25,159
023 Toghroinn Fhíonáin,12,64
024 Teeranearagh,27,131
025 Valencia,48,262
026 Ballinvoher,40,221
027 An Baile Dubh,7,44
028 Ballynacourty,20,132
029 Cé Bhréanainn,9,58
030 Castlegregory,50,381
031 An Clochán,13,91
032 Deelis,25,147
033 An Daingean,79,686
034 Dún Chaoin,6,70
035 Dún Urlann,24,213
036 Na Gleannta,106,766
037 Inch,11,47
038 Cill Maoilchéadair,23,205
039 Cill Chuáin,12,199
040 Cinn Aird,18,162
041 Lack,23,117
042 Márthain,17,107
043 An Mhin Aird,25,177
044 An Sráidbhaile,19,97
045 Ceann Trá,22,174
046 Ardea,15,77
047 Banawn,20,106
048 Cappagh,16,165
049 Castlecove,22,112
050 Dawros,33,242
051 Dromore,22,99
052 Glanlee,15,62
053 Glanlough,3,59
054 Glanmore,9,80
055 Greenane,20,88
056 Kenmare,176,"1,288"
057 Kilgarvan,46,290
058 Loughbrin,3,62
059 Reen,15,59
060 Sneem,61,348
061 Tahilla,15,67
062 Aghadoe,67,381
063 Aglish,26,186
064 Ballyhar,11,88
065 Brewsterfield,62,350
066 Caragh,61,374
067 Churchtown,26,205
068 Clydagh,9,51
069 Coolies,62,376
070 Coom,153,885
071 Curraghmore,13,143
072 Currans,22,114
073 Doocarrig,35,281
074 Dromin,49,354
075 Dunloe,55,349
076 Flesk,21,177
077 Headfort,48,350
078 Kilbonane,48,263
079 Kilcummin,166,928
080 Kilfelim,23,119
081 Kilgobnet,43,334
082 Killarney Rural,421,"2,914"
083 Killeentierna,68,408
084 Killorglin,263,"1,788"
085 Kilnanare,77,405
086 Knocknahoe,30,153
087 Lahard,52,322
088 Milltown,138,927
089 Molahiffe,98,710
090 Muckross,48,377
091 Rathmore,150,844
092 Rockfield,29,176
093 Ardagh,35,244
094 Astee,34,195
095 Ballincloher,27,177
096 Ballyconry,28,161
097 Ballyduff,41,269
098 Ballyegan,8,39
099 Ballyhorgan,39,186
100 Beal,18,62
101 Carrig,13,133
102 Causeway,39,260
103 Cloontubbrid,25,103
104 Drommartin,39,204
105 Duagh,30,197
106 Ennismore,41,192
107 Gullane,15,98
108 Gunsborough,26,139
109 Kilfeighny,47,381
110 Killehenny,106,663
111 Killury,19,197
112 Kilmeany,36,301
113 Kilshenane,15,80
114 Kiltomy,15,165
115 Leitrim,58,215
116 Lislaughtin,41,226
117 Lisselton,24,143
118 Listowel Rural,122,607
119 Lixnaw,58,374
120 Moynsha,40,226
121 Newtownsandes,61,420
122 Rathea,24,158
123 Shronowen,12,91
124 Tarbert,61,269
125 Tarmon,39,171
126 Trienearagh,36,195
127 Urlee,21,134
128 Abbeydorney,68,476
129 Arabela,90,589
130 Ardfert,53,348
131 Ballyegan,23,157
132 Ballyheige,94,538
133 Ballynahaglish,113,675
134 Ballynorig,27,193
135 Ballyseedy,123,674
136 Banna,44,297
137 Baurtregaum,27,135
138 Blennerville,42,279
139 Boolteens,36,209
140 Brosna,46,278
141 Carker,16,181
142 Castleisland,216,"1,329"
143 Clogherbrien,83,616
144 Cordal,17,130
145 Crinny,23,147
146 Derreen,13,87
147 Doon,60,292
148 Gneeves,28,159
149 Kerryhead,41,231
150 Kilflyn,13,108
151 Kilgarrylander,40,282
152 Kilgobban,17,109
153 Killahan,24,141
154 Kilmurry,17,140
155 Kiltallagh,40,229
156 Knockglass,28,141
157 Knocknagashel,43,272
158 Lackabaun,29,182
159 Millbrook,20,203
160 Mount Eagle,7,59
161 Nohaval,25,160
162 O'Brennan,29,214
163 Ratass,75,460
164 Scartaglin,50,315
