Electoral Division,Household Income
"085 Cahermore, Co. Galway",53815
"071 Drumcannon, Co. Waterford",53811
"236 Milltown, Co. Cork",53744
"042 Shangarry, Co. Carlow",53731
"031 Moyacomb, Co. Wexford",53720
"030 Nurney, Co. Kildare",53698
"108 Colmanstown, Co. Galway",53687
"078 Killavally, Co. Mayo",53687
"015 Donore, Co. Laois",53679
"020 Cashel, Co. Cork",53670
"016 Ballymoon, Co. Carlow",53659
"008 Ardee Rural, Co. Louth",53610
"069 Kilmore A, Dublin City",53567
"117 Kilconierin, Co. Galway",53560
"083 Kilcooly, Co. Meath",53553
"105 Cappalusk, Co. Galway",53542
"079 Kilcummin, Co. Kerry",53509
"066 Wicklow Rural, Co. Wicklow",53507
"049 Kilpatrick, Co. Westmeath",53499
"047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",53416
"067 Gortkelly, North Tipperary",53379
"078 Morristownbiller, Co. Kildare",53369
"074 Killooly, Co. Offaly",53342
"008 Clash, Co. Laois",53280
"183 Carrigaline, Co. Cork",53235
"045 Ballycullen, Co. Wicklow",53223
"040 Eanach Dhúin, Co. Galway",53223
"248 Ballyspillane, Co. Cork",53217
"024 Kilnaseer, Co. Laois",53212
"020 Palmerston West, South Dublin",53190
"033 Carrigatogher, North Tipperary",53166
"077 Rahelty, North Tipperary",53160
"134 Ballynorig, Co. Kerry",53139
"133 Clonmel Rural (Part Urban), South Tipperary",53137
"014 Blanchardstown-Roselawn, Fingal",53133
"225 Caherduggan, Co. Cork",53133
"047 Tobernea, Co. Limerick",53109
"100 Ballincrea, Co. Kilkenny",53106
"023 Turrock, Co. Roscommon",53099
"010 Colt, Co. Laois",53090
"260 Midleton Rural, Co. Cork",53077
"068 Kilnagross, Co. Cork",53029
"036 Burriscarra, Co. Mayo",53024
"022 Boherboy, Co. Meath",53020
"090 Whitehall A, Dublin City",53018
"096 Knockaderry, Co. Limerick",53015
"051 Ballycummin, Co. Limerick",53014
"106 Graigue, South Tipperary",53010
"108 Killeenasteena, South Tipperary",53009
"134 Inishlounaght (Part Urban), South Tipperary",53000
"023 Kilbora, Co. Wexford",52987
"010 Kilcumreragh, Co. Westmeath",52975
"067 Clondagad, Co. Clare",52971
"283 Marshalstown, Co. Cork",52968
"009 Mothel, Co. Waterford",52963
"082 Boola, Co. Limerick",52958
"052 Tinnasaggart, Co. Waterford",52944
"097 Kinvarra, Co. Galway",52936
"067 Derrymore, Co. Westmeath",52919
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",52911
"009 Bishopstown D, Cork City",52910
"213 Macloneigh, Co. Cork",52901
"003 Ballinlough C, Cork City",52888
"116 Kiltenanlea, Co. Clare",52884
"100 Beal, Co. Kerry",52876
"220 Warrenscourt, Co. Cork",52868
"029 Tallaght-Belgard, South Dublin",52863
"125 Pembroke East A, Dublin City",52841
"069 Coolies, Co. Kerry",52827
"029 Rathclarin, Co. Cork",52825
"095 Kilcolman, Co. Mayo",52809
"103 St. Mary's (Part Rural), Co. Cork",52807
"010 Donaghmoyne, Co. Monaghan",52796
"102 Stonehall, Co. Westmeath",52792
"003 Clonmore, Co. Carlow",52789
"057 Killiskey, Co. Wicklow",52771
"146 Ballyhoolahan, Co. Cork",52736
"030 Drumline, Co. Clare",52735
"186 Belclare, Co. Galway",52720
"018 Boulteen, Co. Cork",52708
"046 Tullowbeg, Co. Carlow",52697
"098 Kilteevan, Co. Roscommon",52685
"072 Coolattin, Co. Wicklow",52682
"039 Ballysadare West, Co. Sligo",52662
"006 Bocks, Co. Monaghan",52648
"022 Dromard West, Co. Sligo",52647
"131 Ballyegan, Co. Kerry",52626
"070 Hammerlane, Co. Offaly",52592
"052 Borrisnafarney, North Tipperary",52587
"019 Lismanny, Co. Galway",52582
"053 Knockaree, Co. Sligo",52564
"016 Tubbrit, Co. Westmeath",52552
"080 Kilfelim, Co. Kerry",52552
"122 Merchants Quay D, Dublin City",52524
"058 Shankill, Co. Kilkenny",52514
"013 Mount Temple, Co. Westmeath",52512
"001 Airport, Fingal",52482
"073 Doocarrig, Co. Kerry",52479
"140 Kilworth, Co. Cork",52462
"021 Garristown, Fingal",52448
"013 Cullenagh, Co. Laois",52439
"061 Newcastle Upper, Co. Wicklow",52390
"045 Particles, Co. Limerick",52385
"213 Ryehill, Co. Galway",52384
"011 Crean, Co. Limerick",52370
"042 Kilnaneave, North Tipperary",52363
"032 Burgesbeg, North Tipperary",52360
"102 Farnoge, Co. Kilkenny",52356
"001 Abbeyville, Co. Limerick",52348
"189 Claretuam, Co. Galway",52342
"089 Usk, Co. Kildare",52288
"097 Castlewray (Part Rural), Co. Donegal",52261
"036 Cabra West D, Dublin City",52257
"088 Balleen, Co. Kilkenny",52236
"010 Bert, Co. Kildare",52232
"036 Nurney, Co. Carlow",52226
"021 Killyon, Co. Offaly",52221
"023 Uskane, North Tipperary",52208
"085 Tinamuck, Co. Offaly",52198
"053 Huntingtown, Co. Wexford",52190
"045 Monasteroris, Co. Offaly",52172
"034 Mansfieldstown, Co. Louth",52135
"049 Abington, Co. Limerick",52122
"207 Kilmoylan, Co. Galway",52115
"201 Kilcoona, Co. Galway",52111
"020 Dubber, Fingal",52108
"092 Templemichael, Co. Waterford",52103
"118 Ballybacon, South Tipperary",52091
"043 Ballinderry, Co. Wicklow",52082
"060 Grange B, Dublin City",52073
"020 Imael South, Co. Wicklow",52070
"183 Ballinduff, Co. Galway",52069
"101 Lissonuffy, Co. Roscommon",52067
"101 Colman, South Tipperary",52060
"130 Curraglass, Co. Cork",52046
"022 Kildellig, Co. Laois",52031
"050 Deerpark, Co. Galway",52031
"066 Glenkeen, North Tipperary",52029
"054 Bourney East, North Tipperary",51993
"087 Timahoe North, Co. Kildare",51972
"129 Tubbrid, South Tipperary",51971
"141 Islandeady, Co. Mayo",51950
"121 Kilscannell, Co. Limerick",51948
"051 Dunganstown West, Co. Wicklow",51946
"005 Ballinasloe Rural, Co. Galway",51930
"066 Kilmaloda West, Co. Cork",51917
"024 Kilbrogan, Co. Cork",51899
"159 Glenlara, Co. Cork",51890
"033 Brownsford, Co. Kilkenny",51865
"070 Ballynakill (Part Rural), Co. Waterford",51847
"072 Kilcumreragh, Co. Offaly",51845
"020 Ballymun F, Dublin City",51818
"085 Cobh Rural, Co. Cork",51815
"270 Doonasleen, Co. Cork",51804
"320 Ardagh, Co. Cork",51797
"003 Adare South, Co. Limerick",51795
"113 Grange, Co. Galway",51790
"034 Mullanalaghta, Co. Longford",51787
"075 Cronelea, Co. Wicklow",51783
"018 Dysartgallen, Co. Laois",51767
"018 Coolamber, Co. Longford",51739
"140 Caher, Co. Clare",51732
"036 Ballymacwilliam, Co. Offaly",51729
"055 Ardfield, Co. Cork",51719
"021 Riverstown, North Tipperary",51716
"136 Ogonnelloe, Co. Clare",51663
"025 Darver, Co. Louth",51642
"117 Kinneigh, Co. Cork",51634
"083 Screggan, Co. Offaly",51632
"011 Agha, Co. Carlow",51626
"025 Colligan, Co. Waterford",51624
"063 Churchtown, Co. Westmeath",51619
"040 Rathrush, Co. Carlow",51605
"019 Grange Upper, Waterford City",51603
"276 Skagh, Co. Cork",51598
"094 Killinny, Co. Galway",51591
"120 Kilmeen, Co. Galway",51586
"030 Glasheen A, Cork City",51584
"059 Limerick, Co. Wexford",51583
"101 Dunkitt, Co. Kilkenny",51578
"065 Trooperstown, Co. Wicklow",51572
999 Esker / Ballaghassaan,51569
"121 Aghern, Co. Cork",51563
"078 Bishopstown (Part Rural), Co. Cork",51547
"139 Lisronagh, South Tipperary",51545
"211 Monivea, Co. Galway",51536
"095 Lisdowney, Co. Kilkenny",51535
"024 Carrickleck, Co. Meath",51517
"030 Haggardstown (Part Urban), Co. Louth",51507
"058 Carrig, Co. Limerick",51491
"110 Killurin, Co. Wexford",51490
"039 Vicarstown, Co. Laois",51476
"075 Sallyford, Co. Laois",51456
"010 Blessington, Co. Wicklow",51425
"011 Doon, Co. Offaly",51414
"135 Kilcash, South Tipperary",51382
"116 Dunmoylan East, Co. Limerick",51362
"125 Leitrim, Co. Galway",51361
"079 Thurles Rural, North Tipperary",51360
"217 Rahalisk, Co. Cork",51344
"110 Portnascully, Co. Kilkenny",51325
"007 Ballylusky, North Tipperary",51314
"028 Clogharinka, Co. Kilkenny",51305
"125 Aghagower North, Co. Mayo",51304
"004 Bray No. 2, Co. Wicklow",51303
"057 Ballynagore, Co. Westmeath",51300
"080 Twomileborris, North Tipperary",51261
"009 Derrinboy, Co. Offaly",51260
"025 Rathsallagh, Co. Wicklow",51258
"143 Rathcormack, Co. Cork",51257
"089 Grallagh, Co. Waterford",51242
"130 Mountain, Co. Galway",51239
"043 Ardcath, Co. Meath",51207
"045 Urlan, Co. Clare",51188
"092 Trim Rural (Part Urban), Co. Meath",51186
"084 Old Ross, Co. Wexford",51172
"052 Ettagh, Co. Offaly",51168
"008 Ballycarney, Co. Wexford",51156
"118 Mountievers, Co. Clare",51150
"054 Sramore, Co. Leitrim",51148
"064 Kilmurry, Co. Limerick",51130
"069 Ballyhean, Co. Mayo",51122
"179 Abbey West, Co. Galway",51120
"322 Kilcronat, Co. Cork",51119
"095 Ballysheehan, South Tipperary",51106
"074 Dunmain, Co. Wexford",51101
"026 Lackagh, Co. Kildare",51079
"006 Enniskeen, Co. Cavan",51075
"017 Hinds, Co. Offaly",51074
"084 Kildalky, Co. Meath",51072
"142 Cooloo, Co. Galway",51034
"257 Ightermurragh, Co. Cork",51028
"052 Castletown, Co. Meath",51020
"062 Sliabh an Aonaigh, Co. Galway",51019
"047 Cappalough, Co. Laois",51018
"112 Fahymore, Co. Clare",51016
"016 Fontstown, Co. Kildare",51013
"110 Ballyallinan, Co. Limerick",50966
"051 Kilrainy, Co. Kildare",50963
"065 Harmonstown B, Dublin City",50960
"106 Ballyglass, Co. Clare",50945
"035 Jerpoint West, Co. Kilkenny",50922
"195 Templebreedy, Co. Cork",50906
"089 Rathmolyon, Co. Meath",50871
"058 Enagh, Co. Monaghan",50870
"032 Moatfarrell, Co. Longford",50822
"034 Dromin, Co. Limerick",50819
"325 Youghal Rural (Part Rural), Co. Cork",50794
"056 Argideen, Co. Cork",50780
"093 Whitehall D, Dublin City",50770
"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",50770
"036 Listerlin, Co. Kilkenny",50744
"072 Longfordpass, North Tipperary",50742
"323 Killeagh, Co. Cork",50732
"073 Killeigh, Co. Offaly",50711
"022 Lackan, Co. Wicklow",50701
"024 Templepatrick, Co. Westmeath",50694
"011 Creagh, Co. Roscommon",50683
"048 Terenure-Greentrees, South Dublin",50678
"004 Crossbane, Co. Cavan",50674
"127 Loughrea Rural, Co. Galway",50667
"054 Abbeymahon, Co. Cork",50664
"034 Moybolgue, Co. Meath",50659
"014 Bree, Co. Wexford",50644
"150 Bawncross, Co. Cork",50628
"088 Ardough, Co. Laois",50625
"028 Dromore, Co. Waterford",50618
"071 Ballyboggan, Co. Meath",50603
"076 Moyne, North Tipperary",50591
"036 Newcastle, Co. Meath",50589
"215 Mashanaglass, Co. Cork",50586
"037 Tankardstown, Co. Laois",50584
"124 Derrygrath, South Tipperary",50579
"053 Glendalough, Co. Wicklow",50578
"231 Imphrick, Co. Cork",50563
"070 Kilcullen, Co. Kildare",50561
"180 Ballyfoyle, Co. Cork",50558
"118 Manch, Co. Cork",50538
"013 Ballygall C, Dublin City",50531
"097 Tubbridbrittain, Co. Kilkenny",50505
"041 Sixmilebridge, Co. Clare",50493
"272 Keale, Co. Cork",50454
"069 Ballinglen, Co. Wicklow",50446
"080 Knocktopher, Co. Kilkenny",50431
"070 Enniscoffey, Co. Westmeath",50426
"049 Dunganstown East, Co. Wicklow",50413
"115 Kilseily, Co. Clare",50408
"020 Rathmore, Co. Limerick",50381
"088 Doorus, Co. Galway",50379
"029 Kilbride, Co. Carlow",50372
"013 Drumgurra, Co. Monaghan",50372
"265 Caherbarnagh, Co. Cork",50368
"181 Annaghdown, Co. Galway",50348
"089 Drumlumman, Co. Cavan",50331
"037 Annestown, Co. Waterford",50324
"163 Ratass, Co. Kerry",50306
"011 Clonkeen, Co. Louth",50305
"019 Aird Mhór, Co. Waterford",50305
"007 Carn, Co. Westmeath",50296
"030 Kilskeer, Co. Meath",50288
"064 Downings, Co. Kildare",50286
"009 Belan, Co. Kildare",50257
"277 Ballyarthur, Co. Cork",50254
"039 The Rower, Co. Kilkenny",50239
"005 Ballinacurra A, Limerick City",50237
"032 Killanny, Co. Louth",50217
"035 Ballintogher West, Co. Sligo",50217
"057 Ballysax East, Co. Kildare",50212
"078 Kilbonane, Co. Kerry",50207
"088 Timahoe South, Co. Kildare",50204
"117 Rathaspick, Co. Wexford",50199
"321 Clonpriest, Co. Cork",50193
"063 Marymount, Co. Laois",50179
"230 Dromore, Co. Cork",50177
"079 Manulla, Co. Mayo",50164
"129 Coole, Co. Cork",50154
"013 Ballymacarbry, Co. Waterford",50113
"029 Dungarvan Rural, Co. Waterford",50103
"051 Na Forbacha, Co. Galway",50101
"244 Templemary, Co. Cork",50098
"040 Swords Village, Fingal",50097
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",50093
"132 Glanworth East, Co. Cork",50082
"098 Turra, Co. Laois",50044
"092 Crossboyne, Co. Mayo",50035
"009 Kellysgrove, Co. Galway",50032
"157 Bruis, South Tipperary",50030
"067 Drumard, Co. Leitrim",50030
"086 Killyon, Co. Meath",50021
"009 Kells, Co. Kilkenny",50012
"007 Clondalkin-Monastery, South Dublin",49997
"038 Timogue, Co. Laois",49982
"144 Crohane, South Tipperary",49979
"107 Cloonkeen, Co. Galway",49958
"025 Beaumont E, Dublin City",49943
"050 Newtown, Co. Waterford",49926
"098 Rathconrath, Co. Westmeath",49901
"055 St. Patrick's, Co. Leitrim",49888
"042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown",49887
"129 Riddlestown, Co. Limerick",49883
"202 Killeany, Co. Galway",49846
"018 City Hall B, Cork City",49837
"045 Julianstown, Co. Meath",49834
"011 Drumboory, Co. Monaghan",49833
"146 St. Kevin's, Dublin City",49822
"087 Templeludigan, Co. Wexford",49785
"080 Rath, Co. Wicklow",49777
"199 Hillsbrook, Co. Galway",49762
"008 Castledaly, Co. Westmeath",49760
"094 Ardsallagh, South Tipperary",49750
"045 Templepeter, Co. Carlow",49738
"091 Garryduff, Co. Limerick",49737
"069 Knocks, Co. Cork",49700
"023 Kilbrittain, Co. Cork",49688
"066 Limerick South Rural, Co. Limerick",49679
"010 Bishopstown E, Cork City",49653
"006 Ballygrennan, Co. Limerick",49652
"214 Magourney, Co. Cork",49649
"127 Castlelyons, Co. Cork",49645
"032 Colmanswell, Co. Limerick",49606
"205 Doire Fhínín, Co. Cork",49598
"012 Kilmanagh, Co. Kilkenny",49576
"063 Killallon, Co. Meath",49564
"010 Coolrus, Co. Limerick",49553
"042 Ballinacor, Co. Wicklow",49528
"073 Clonleigh, Co. Wexford",49506
"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",49502
"015 Kilcar, Co. Roscommon",49477
"020 Haugh, Co. Donegal",49476
"119 Kilcornan, Co. Limerick",49471
"019 Harristown, Co. Kildare",49464
"081 Temple, Co. Sligo",49464
"261 Mogeely, Co. Cork",49452
"169 Kilmucklin, South Tipperary",49449
"015 Templevanny, Co. Sligo",49442
"005 Bray No. 3, Co. Wicklow",49441
"083 Pollardstown, Co. Kildare",49440
"074 Kilmeage North, Co. Kildare",49427
"032 Killabban, Co. Laois",49423
"030 Ballynaclogh, North Tipperary",49409
"044 Fore West, Co. Westmeath",49408
"031 Jenkinstown, Co. Louth",49407
"006 Carrowreagh, Co. Roscommon",49390
"031 Knockaunbrandaun, Co. Waterford",49366
"006 Bellanalack, Co. Westmeath",49357
"045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",49339
"090 Whitechurch, Co. Wexford",49339
"015 Gurteen, Co. Waterford",49319
"178 Ballinspittle, Co. Cork",49316
"004 Ballyroan, Co. Laois",49311
"056 Ballymorin, Co. Westmeath",49300
"036 Tallaght-Kingswood, South Dublin",49299
"184 Ballynapark, Co. Galway",49297
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",49288
"102 Mote, Co. Roscommon",49279
"038 Shanbogh, Co. Kilkenny",49223
"008 Cloonburren, Co. Roscommon",49219
"054 Crossdoney, Co. Cavan",49219
"058 Kilnahue, Co. Wexford",49196
"033 Munterconnaught, Co. Cavan",49176
"095 Kiltartan, Co. Galway",49159
"065 Tivoli B, Cork City",49147
"062 Grange D, Dublin City",49145
"015 Dunmanoge, Co. Kildare",49145
"073 Moynehall, Co. Cavan",49145
"252 Cloyne, Co. Cork",49135
"107 Kilcowan, Co. Wexford",49115
"084 Rathernan, Co. Kildare",49108
"037 Oldleighlin, Co. Carlow",49103
"058 Rathnaveoge, North Tipperary",49096
"061 Rossinver West, Co. Sligo",49075
"079 Rahan, Co. Offaly",49073
"154 Ballygriffin, South Tipperary",49058
"069 Barronstown, Co. Wexford",49057
"043 Caldragh, Co. Longford",49054
"062 Rossminoge, Co. Wexford",49029
"023 Burry, Co. Meath",48990
"089 Arless, Co. Laois",48980
"058 Tulla, Co. Offaly",48979
"048 Drumcondra South B, Dublin City",48970
"138 Kiltinan, South Tipperary",48967
"077 Kilmacleague, Co. Waterford",48964
"285 Templemolaga, Co. Cork",48952
"064 Kilkerranmore, Co. Cork",48945
"021 Bohadoon, Co. Waterford",48944
"046 Cloncurry, Co. Kildare",48936
"129 Arabela, Co. Kerry",48934
"005 Ardagh, Co. Mayo",48933
"104 Taghmon, Co. Westmeath",48930
"092 Rockfield, Co. Kerry",48926
"138 Blennerville (Part Urban), Co. Kerry",48926
"099 Monkstown Urban, Co. Cork",48924
"140 Clonbrock, Co. Galway",48921
"002 Baile an Bhriotaigh, Galway City",48919
"164 Scartaglin, Co. Kerry",48915
"175 Tincoora, Co. Cork",48913
"062 Aghadoe, Co. Kerry",48911
"013 Ballintemple, Co. Carlow",48895
"078 Tullyvin East, Co. Cavan",48890
"021 Tubbrid, Co. Kilkenny",48881
"055 Kilgorman, Co. Wexford",48881
"181 Ballymackean, Co. Cork",48874
"050 Caddagh, Co. Monaghan",48845
"010 Clondalkin Village, South Dublin",48837
"021 Balrathboyne, Co. Meath",48837
"111 Castletown, Co. Cork",48834
"016 Boolyglass, Co. Kilkenny",48825
"007 Ballynabanoge, Co. Limerick",48823
"087 Woolengrange, Co. Kilkenny",48821
"043 Scart, Co. Cork",48782
"034 Ballintogher East, Co. Sligo",48780
"015 Drumcar, Co. Louth",48767
"029 Greenore, Co. Louth",48767
"097 Clogher, South Tipperary",48766
"047 Tullow Rural, Co. Carlow",48750
"038 Tallaght-Oldbawn, South Dublin",48745
"267 Crinnaloo, Co. Cork",48738
"080 Priorswood A, Dublin City",48724
"113 Craggs, Co. Limerick",48720
"226 Carrig, Co. Cork",48707
"203 Clondrohid, Co. Cork",48699
"123 Ballynoe, Co. Cork",48684
"280 Kildorrery, Co. Cork",48677
"086 Tinnycross, Co. Offaly",48672
"059 Killiney South, Dún Laoghaire-Rathdown",48665
"044 Glenboy, Co. Leitrim",48650
"046 Corboy, Co. Longford",48648
"137 Kilcummer, Co. Cork",48644
"228 Clenor, Co. Cork",48634
"018 Muckalee, Co. Kilkenny",48618
"053 Coolrain, Co. Laois",48613
"005 Ballybroder, Co. Westmeath",48611
"047 Ceathrú an Bhrúnaigh (Part Rural), Co. Galway",48604
"233 Kilshannig, Co. Cork",48593
"023 Killermogh, Co. Laois",48582
"020 Barronstown, Co. Louth",48568
"091 Rathmore, Co. Kerry",48551
"078 North Dock C, Dublin City",48549
"115 Mayglass, Co. Wexford",48547
"111 Knockgraffon, South Tipperary",48539
"176 Tullylease, Co. Cork",48530
"108 Kilmakevoge, Co. Kilkenny",48516
"012 Carrigeen, Co. Kildare",48501
"099 Skehanagh, Co. Galway",48466
"085 Tullaherin, Co. Kilkenny",48459
"069 Knappagh, Co. Cavan",48456
"164 Ballyglass, Co. Galway",48443
"118 Killimor, Co. Galway",48438
"027 Talbotstown, Co. Wicklow",48413
"062 Cappancur, Co. Offaly",48396
"086 Cloncagh, Co. Limerick",48384
"022 Tullahought, Co. Kilkenny",48380
"023 Whitechurch, Co. Kilkenny",48378
"032 Shannonharbour, Co. Offaly",48376
"047 Drehid, Co. Kildare",48366
"056 Killavinoge, North Tipperary",48346
"100 Mountplummer, Co. Limerick",48337
"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",48313
"087 Tullamore Rural, Co. Offaly",48310
"014 Dromiskin, Co. Louth",48304
"149 Barnacurra, Co. Cork",48302
"029 Ballymackey, North Tipperary",48280
"042 Fews, Co. Waterford",48275
"014 Ballygall D, Dublin City",48264
"139 Rathmines West B, Dublin City",48247
"282 Kilphelan, Co. Cork",48243
"055 Lisconny, Co. Sligo",48243
"030 Cabra East A, Dublin City",48238
"030 Glore, Co. Westmeath",48236
"092 Multyfarnham, Co. Westmeath",48232
"212 Moyne, Co. Galway",48205
"056 Lissadill East, Co. Sligo",48192
"093 Newtown, Co. Westmeath",48191
"237 Monanimy, Co. Cork",48177
"092 Whitehall C, Dublin City",48169
"048 Killulagh, Co. Westmeath",48169
"026 Aughrim East, Co. Roscommon",48159
"021 Johnstown, Co. Kildare",48143
"059 Castleconnell, Co. Limerick",48132
"076 Cloonkeen, Co. Mayo",48126
"100 Drinagh, Co. Wexford",48123
"076 Mountbriscoe, Co. Offaly",48116
"071 Larah South, Co. Cavan",48110
"030 Seirkieran, Co. Offaly",48105
"042 Faughalstown, Co. Westmeath",48089
"023 Bellatrain, Co. Monaghan",48082
"045 Clontarf West D, Dublin City",48075
"041 Tailtin, Co. Meath",48075
"043 Templeogue-Limekiln, South Dublin",48073
"028 Kellistown, Co. Carlow",48071
"012 Collon, Co. Louth",48048
"099 Corravaddy (Part Rural), Co. Donegal",48046
"064 Rackwallace, Co. Monaghan",48043
"039 Ardagh West, Co. Longford",48038
"106 Kilbride, Co. Wexford",48038
"072 Faithlegg (Part Rural), Co. Waterford",48037
"048 Bellanode, Co. Monaghan",48032
"042 Carney, Co. Sligo",48028
"006 Coolaghmore, Co. Kilkenny",48020
"067 Killykeen, Co. Cavan",48020
"006 Killary, Co. Meath",48016
"064 Cloghan, Co. Westmeath",48007
"003 Arran Quay C, Dublin City",48005
"026 Clareabbey (Part Urban), Co. Clare",48003
"055 Navan Rural (Part Urban), Co. Meath",47996
"091 Ballylehane, Co. Laois",47980
"044 Tankardstown, Co. Carlow",47970
"043 Killynenagh, Co. Monaghan",47956
"098 Monagay, Co. Limerick",47955
"145 Crinny, Co. Kerry",47948
"009 Tiknock, Co. Carlow",47937
"125 Castlecooke, Co. Cork",47922
"005 Ballymackney, Co. Monaghan",47919
"060 Tullaroan, Co. Kilkenny",47913
"051 Riverdale, Co. Westmeath",47906
"034 An Rinn, Co. Waterford",47905
"026 Ceannanus Mór (Kells) Rural (Part Urban), Co. Meath",47891
"069 Emper, Co. Westmeath",47891
"003 Carnagarve, Co. Cavan",47883
"034 St. Mary's, Co. Wexford",47879
"019 Imael North, Co. Wicklow",47875
"122 Ballyhooly, Co. Cork",47860
"072 Freaghana, Co. Kilkenny",47848
"015 Muckanagh, Co. Westmeath",47847
"063 Aglish, Co. Kerry",47838
"208 Greenville, Co. Cork",47837
"053 Moydow, Co. Longford",47824
"058 Slane, Co. Meath",47822
"027 Lusmagh, Co. Offaly",47815
"008 Corracharra, Co. Monaghan",47813
"070 Rathbarry, Co. Cork",47799
"076 Kilballyowen, Co. Wicklow",47793
"080 Streamstown, Co. Sligo",47792
"083 Killeentierna, Co. Kerry",47789
"007 Clonfert, Co. Galway",47771
"305 Shreelane, Co. Cork",47757
"006 Ardnaree North (Part Urban), Co. Mayo",47747
"061 Monaseed, Co. Wexford",47730
"105 Aultagh, Co. Cork",47725
"012 Donaghmore, Co. Wicklow",47695
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",47686
"086 Knocknahoe, Co. Kerry",47670
"168 Killadriffe, South Tipperary",47658
"087 Middleton, Co. Westmeath",47639
"098 Cloneen, South Tipperary",47612
"030 Togher, Co. Wicklow",47611
"020 Oatfield, Co. Galway",47606
"045 Ballylarkin, Co. Wexford",47600
"039 Clonmore, Co. Offaly",47591
"119 O'Briensbridge, Co. Clare",47569
"008 Ayrfield, Dublin City",47567
"075 Killoughy, Co. Offaly",47544
"089 Mullingar Rural, Co. Westmeath",47538
"057 Graigue, Co. Laois",47533
"005 Grangegeeth, Co. Meath",47514
"132 Clogher, Co. Mayo",47508
"105 Gaile, South Tipperary",47493
"153 Ballycarron, South Tipperary",47492
"037 Bracknagh, Co. Offaly",47474
"077 Headfort, Co. Kerry",47462
"047 Ballincor, Co. Offaly",47459
"109 Templedouglas, Co. Donegal",47445
"071 Famma, Co. Kilkenny",47436
"095 Aughwilliam, Co. Wexford",47432
"042 Mahon A, Cork City",47424
"171 Newtown, Co. Cork",47416
"013 Drumcullen, Co. Offaly",47404
"041 St. Peter's (Part Urban), Co. Louth",47389
"017 Fiddown, Co. Kilkenny",47359
"123 Merchants Quay E, Dublin City",47353
"019 Palmerston Village, South Dublin",47352
"021 Gowel, Co. Leitrim",47333
"057 Killea, North Tipperary",47329
"047 Ballagh, Co. Clare",47315
"279 Farahy, Co. Cork",47297
"023 Beaumont C, Dublin City",47292
"004 Callan Rural, Co. Kilkenny",47291
"116 Newcastle, Co. Wexford",47291
"081 Pleberstown, Co. Kilkenny",47278
"097 Rahugh, Co. Westmeath",47254
"125 Carrowbaun, Co. Clare",47254
"054 Paulstown, Co. Kilkenny",47251
"051 Dunkerrin, Co. Offaly",47247
"075 Cloghbrack, Co. Meath",47245
"079 Money, Co. Wicklow",47243
"054 Glenealy, Co. Wicklow",47241
"019 Ballymascanlan, Co. Louth",47238
"023 Knockbarron, Co. Offaly",47232
"046 St. Tierney, Co. Monaghan",47219
"053 Ballyduff, Co. Waterford",47203
"061 Coolcraheen, Co. Cork",47201
"036 Ravensdale, Co. Louth",47191
"137 Caltra, Co. Galway",47184
"043 Ballyellis, Co. Wexford",47181
"146 Mount Bellew, Co. Galway",47181
"071 Cullane, Co. Limerick",47172
"007 Ardnaree South Rural (Part Urban), Co. Mayo",47168
"128 An Tearmann, Co. Donegal",47146
"024 Kilcormick, Co. Wexford",47134
"038 Cong, Co. Mayo",47132
"065 Scotstown, Co. Monaghan",47128
"084 Priorswood E, Dublin City",47092
"074 Liscasey, Co. Clare",47035
"048 Gowran, Co. Kilkenny",47033
"092 Galmoy, Co. Kilkenny",47011
"036 Ballynaskeagh, Co. Westmeath",47008
"038 Ardagh East, Co. Longford",46986
"019 Salthill, Galway City",46976
"063 An Spidéal, Co. Galway",46971
"100 Aille, Co. Galway",46961
"050 Kilkenny Rural, Co. Kilkenny",46960
"019 Kilcolman, Co. Offaly",46948
"074 Coolboy, Co. Wicklow",46932
"010 Williamstown, Co. Carlow",46926
"031 Dysert, Co. Clare",46921
"003 Ballinakill, Co. Laois",46918
"296 Drinagh, Co. Cork",46918
"107 Killahy, Co. Kilkenny",46907
"041 Drummully, Co. Monaghan",46882
"080 Waterloo, Co. Cavan",46873
"070 Ballybeg, Co. Wicklow",46870
"136 Kilcor, Co. Cork",46860
"158 Walkinstown A, Dublin City",46842
"009 Lough Atalia, Galway City",46834
"148 Kyle, Co. Clare",46831
"061 Bawn, Co. Offaly",46819
"048 Cardtown, Co. Laois",46798
"144 Kilmeena (Part Urban), Co. Mayo",46790
"091 Kinsalebeg, Co. Waterford",46764
"073 Templeomalus, Co. Cork",46755
"012 Killallaghtan, Co. Galway",46753
"103 Glynn, Co. Wexford",46749
"166 Derrew, Co. Galway",46747
"036 The Leap, Co. Wexford",46734
