Electoral Division,Household Income
"024 Beaumont D, Dublin City",65982
"041 Ballybrittas, Co. Laois",65822
"193 Liscleary, Co. Cork",65795
"087 Castletaylor, Co. Galway",65789
"082 Cill Bhríde, Co. Meath",65729
"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",65673
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",65628
"090 Glenville, Co. Cork",65626
"023 Lugglass, Co. Wicklow",65524
"211 Kilcullen, Co. Cork",65519
"032 Muckalee, Co. Kilkenny",65513
"025 Rathfarnham-St. Enda's, South Dublin",65485
"017 Rodanstown, Co. Meath",65460
"019 Donabate, Fingal",65437
"087 Laracor, Co. Meath",65383
"014 Dunnaman, Co. Limerick",65381
"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",65310
"025 Knockavilly, Co. Cork",65306
"034 Greystones, Co. Wicklow",65291
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",65210
"031 Killerrig, Co. Carlow",65153
"068 Roxborough, Co. Limerick",65136
"093 Killeenavarra, Co. Galway",65090
"040 Maynooth, Co. Kildare",65021
"049 Clarinbridge, Co. Galway",64969
"063 Donore, Co. Kildare",64923
"022 Rathfarnham-Ballyroan, South Dublin",64915
"115 Dromard, Co. Limerick",64842
"032 Portmarnock South, Fingal",64831
"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",64827
"029 Narraghmore, Co. Kildare",64823
"102 Riverstown, Co. Cork",64573
"092 Killeely, Co. Galway",64526
"036 Swords-Forrest, Fingal",64455
"017 Kilronan, Co. Waterford",64435
"196 Templemichael, Co. Cork",64400
"033 Enniskerry, Co. Wicklow",64393
"015 Lucan-Esker, South Dublin",64278
"019 Brinny, Co. Cork",64263
"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",64242
"028 Murragh, Co. Cork",64230
"188 Kilpatrick, Co. Cork",64157
"031 Templemartin, Co. Cork",64111
"006 Ashtown A, Dublin City",63947
"033 Balraheen, Co. Kildare",63910
"056 Garrymore, Co. Laois",63831
"083 Carrignavar, Co. Cork",63799
"057 St. Canice, Co. Kilkenny",63726
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",63590
"009 Glassan, Co. Westmeath",63582
"084 Carrigrohane Beg, Co. Cork",63537
"056 Rathealy, Co. Kilkenny",63529
"134 Rathmines East A, Dublin City",63520
"034 Celbridge, Co. Kildare",63502
"079 Naas Rural, Co. Kildare",63368
"076 Ballygarvan, Co. Cork",63311
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",63300
"014 Firhouse Village, South Dublin",63175
"182 Ballymartle, Co. Cork",63083
"047 Drumcondra South A, Dublin City",63028
"060 Clarina, Co. Limerick",63013
"058 Lisín an Bhealaigh, Co. Galway",62994
"076 Hopestown, Co. Westmeath",62992
"157 Coolclogh, Co. Cork",62983
"007 Ashtown B, Dublin City",62947
"040 Killoscully, North Tipperary",62937
"262 Rostellan, Co. Cork",62919
"114 Greethill, Co. Galway",62876
"065 Kilmaloda East, Co. Cork",62865
"187 Kilmonoge, Co. Cork",62838
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",62834
"080 Newtown, Co. Kildare",62815
"041 Knockrea B, Cork City",62791
"065 Bramblestown, Co. Kilkenny",62745
"022 Hollywood, Fingal",62735
"048 Dunfierth, Co. Kildare",62719
"096 Lehenagh, Co. Cork",62702
"073 Islandikane, Co. Waterford",62685
"089 Ballyconra, Co. Kilkenny",62682
"008 Blanchardstown-Abbotstown, Fingal",62675
"028 Botanic B, Dublin City",62621
"039 Leixlip, Co. Kildare",62616
"046 Clontarf West E, Dublin City",62601
"013 Browningstown, Cork City",62532
"258 Inch, Co. Cork",62451
"091 Greenfort, Co. Cork",62444
"018 Kilfinny, Co. Limerick",62432
"080 Pembrokestown, Co. Waterford",62416
"041 Dundrum-Taney, Dún Laoghaire-Rathdown",62406
"066 Castlebanny, Co. Kilkenny",62376
"012 Killeen, Co. Meath",62268
"031 Curraclone, Co. Laois",62241
"058 Grace Park, Dublin City",62220
"223 Ballynamona, Co. Cork",62178
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",62133
"023 Holmpatrick, Fingal",62104
"078 Galtrim, Co. Meath",62090
"043 Clara, Co. Kilkenny",62023
"011 Kilbrew, Co. Meath",62015
"072 Kill, Co. Kildare",62007
"144 Watergrasshill, Co. Cork",61975
"259 Lisgoold, Co. Cork",61972
"094 Owel, Co. Westmeath",61970
"031 Quinsborough, Co. Kildare",61933
"077 Ballynaglogh, Co. Cork",61911
"053 Ballyvarra, Co. Limerick",61830
"046 An Carn Mór, Co. Galway",61813
"034 Moyanna, Co. Laois",61751
"096 Rossmore, Co. Laois",61701
"011 Castle D, Limerick City",61681
"109 Aughinish, Co. Limerick",61677
"256 Garryvoe, Co. Cork",61614
"059 Kilcolmanbane, Co. Laois",61612
"040 Mullary, Co. Louth",61580
"011 Burgage, Co. Wicklow",61567
"036 Whitechurch, Co. Waterford",61564
"011 Ballinadee, Co. Cork",61521
"010 Dunshaughlin, Co. Meath",61505
"064 Stradbally, Co. Galway",61486
"056 Caherelly, Co. Limerick",61479
"149 Terenure B, Dublin City",61432
"184 Coolmain, Co. Cork",61430
"006 Ballyboghil, Fingal",61409
"008 Ballyshannon, Co. Kildare",61409
"003 Naas Urban, Co. Kildare",61370
"021 Inishannon, Co. Cork",61346
"053 Outrath, Co. Kilkenny",61343
"197 Aghinagh, Co. Cork",61329
"126 Castle Hyde, Co. Cork",61324
"051 Kilkieran, Co. Kilkenny",61273
"058 Belvidere, Co. Westmeath",61262
"009 Cloonown, Co. Roscommon",61180
"050 Ballybricken, Co. Limerick",61154
"011 Cuffsborough, Co. Laois",61131
"077 Gallow, Co. Meath",61129
"047 Calary, Co. Wicklow",61060
"098 Rahasane, Co. Galway",61060
"012 Ross, Co. Waterford",61059
"027 Timahoe, Co. Laois",61051
"050 Ardmulchan, Co. Meath",61028
"151 Quin, Co. Clare",60925
"056 Leacach Beag, Co. Galway",60924
"059 Bodenstown, Co. Kildare",60914
"071 Gaybrook, Co. Westmeath",60882
"048 Stamullin, Co. Meath",60842
"043 Templemaley, Co. Clare",60829
"067 Durrow, Co. Offaly",60828
"056 Kilcoole, Co. Wicklow",60815
"060 Castle, Co. Westmeath",60773
"246 Ballintemple, Co. Cork",60734
"122 Lismakeery, Co. Limerick",60731
"028 Ballyadams, Co. Laois",60720
"005 Ballynakill, Waterford City",60702
"032 Delgany, Co. Wicklow",60656
"142 Rathmines West E, Dublin City",60649
"079 Phoenix Park, Dublin City",60561
"074 Griffinstown, Co. Westmeath",60542
"263 Templebodan, Co. Cork",60415
"094 Knockantota, Co. Cork",60360
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",60325
"017 Lucan-St. Helen's, South Dublin",60312
"021 Drumraney, Co. Westmeath",60210
"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",60196
"111 Ballynacarriga, Co. Limerick",60195
"138 Kildinan, Co. Cork",60192
"124 Lackalea, Co. Galway",60192
"026 Kinsaley, Fingal",60188
"021 Kilbride, Co. Wicklow",60169
"042 Turnapin, Fingal",60132
"038 Kilraghtis, Co. Clare",60108
"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",60059
"194 Nohaval, Co. Cork",60055
"016 Garrane, Co. Limerick",60048
"092 Inishkenny, Co. Cork",60000
"093 Glashare, Co. Kilkenny",59997
"028 Lusk, Fingal",59784
"025 Raheen, Co. Laois",59767
"038 Kilcomenty, North Tipperary",59749
"105 Tullaghan, Co. Westmeath",59730
"054 Thomastown, Co. Kildare",59703
"099 Carrick, Co. Wexford",59693
"018 Clonmethan, Fingal",59584
"021 Rathcoole, South Dublin",59582
"038 Swords-Lissenhall, Fingal",59577
"038 Dysart, Co. Louth",59455
999Greenhall / Lackagh,59446
"060 Tara, Co. Meath",59407
"016 Kiltoom, Co. Roscommon",59396
"043 Cadamstown, Co. Kildare",59350
"005 Carnagh, Co. Roscommon",59347
"043 Ballynacourty, Co. Galway",59343
"043 Fox's Castle, Co. Waterford",59291
"186 Farranbrien, Co. Cork",59236
"020 Grantstown, Co. Laois",59214
"026 Beaumont F, Dublin City",59198
"027 Moviddy, Co. Cork",59172
"201 Cannaway, Co. Cork",59154
"010 Castle C, Limerick City",59108
"049 Mountkennedy, Co. Waterford",59105
"082 Carrigaline, Co. Cork",59099
"033 Luggacurren, Co. Laois",59088
"021 Kilcoke, Co. Laois",59052
"024 Attanagh, Co. Kilkenny",59041
"054 Kentstown, Co. Meath",59033
"101 Rathcooney (Part Rural), Co. Cork",59031
"017 Rockbarton, Galway City",59005
"038 Kilcock, Co. Kildare",58972
"014 Moydrum (Part Urban), Co. Westmeath",58965
"028 Moone, Co. Kildare",58948
"011 Killinure, Co. Westmeath",58912
"059 Castleventry, Co. Cork",58910
"207 Gowlane, Co. Cork",58862
"119 Killogilleen, Co. Galway",58860
"018 Skreen, Co. Meath",58849
"002 Aghmacart, Co. Laois",58822
"039 Monasterboice, Co. Louth",58819
"051 Youghalarra, North Tipperary",58818
"105 Kilcolumb, Co. Kilkenny",58762
"084 Silverbrook, Co. Offaly",58750
"009 Blanchardstown-Blakestown, Fingal",58709
"042 Baile an Teampaill (Part Rural), Co. Galway",58709
"009 Clonkeen, Co. Laois",58693
"088 Rahinstown, Co. Meath",58686
"087 Raheny-St. Assam, Dublin City",58684
"021 Fleanmore, Co. Limerick",58673
"007 Ballybrack, Dún Laoghaire-Rathdown",58667
"042 Clontarf West A, Dublin City",58613
"002 Adare North, Co. Limerick",58600
"061 Kilmurry, Co. Laois",58548
"192 Cummer, Co. Galway",58535
"007 Balscadden, Fingal",58510
"012 Culliagh, Co. Roscommon",58488
"035 Sutton, Fingal",58475
"109 Craughwell, Co. Galway",58475
"160 Gortmore, Co. Cork",58422
"029 Doora (Part Urban), Co. Clare",58373
"065 Tulaigh Mhic Aodháin, Co. Galway",58347
"008 Donaghmore, Co. Meath",58339
"148 Taghboy, Co. Galway",58335
"025 Aghnameadle, North Tipperary",58314
"028 Mounterin, Co. Offaly",58264
"012 Cullahill, Co. Laois",58235
"041 The Ward, Fingal",58226
"063 Ballyvool, Co. Kilkenny",58177
"003 Bohernabreena, South Dublin",58160
"106 Woodland, Co. Westmeath",58152
